Fruit,Target,Regressor,Measurement Type,Integration Time,LED Current,Score
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.38697395567511805
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.2660048411090112
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.31090798912616685
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.28367838095396475
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.36496998961604865
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.31429170892097347
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.3356625803485026
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.4168644401179408
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.37892875312483787
tomato,lycopene (FW),ARD,reflectance,50,12.5 mA,-0.27201735995484555
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.07995862808433
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.11346237101007617
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.06247316822976723
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.09890499859922391
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.06894260961402225
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.0576448039142055
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.08209567578984413
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.07413062259045596
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.06748885786985163
tomato,beta-carotene (FW),ARD,reflectance,50,12.5 mA,-0.06734533445587781
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.2600436748003162
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.259074516375089
tomato,lycopene (FW),Huber Regression,reflectance,50,12.5 mA,-0.3532189339777153
