Fruit,Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time,spot,phenols (FW),phenols (DW),carotene (FW),carotene (DW),%DM
1,Fruit 1 spot 1,2,64,100,23726.853,3624.183,3340.347,2015.318,1469.247,860.342,White LED,50 mA,b'OK Read',08:59:55,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,100,27046.748,4251.496,3900.306,2364.169,1672.802,970.173,White LED,100 mA,b'OK Read',08:59:56,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,150,7234.933,1049.036,962.833,581.417,539.333,351.866,White LED,12.5 mA,b'OK Read',08:59:57,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,150,13977.5,2059.414,1870.225,1120.407,913.386,555.256,White LED,25 mA,b'OK Read',08:59:58,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,150,23755.535,3679.534,3385.625,2049.103,1477.077,864.41,White LED,50 mA,b'OK Read',08:59:59,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,150,27061.091,4327.933,3965.912,2413.667,1684.111,974.241,White LED,100 mA,b'OK Read',09:00:00,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,200,7225.97,1051.672,964.681,583.381,538.898,350.849,White LED,12.5 mA,b'OK Read',09:00:01,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,200,13942.843,2065.125,1876.693,1126.692,912.082,553.731,White LED,25 mA,b'OK Read',09:00:02,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,200,23778.838,3716.435,3416.579,2073.067,1483.601,864.919,White LED,50 mA,b'OK Read',09:00:03,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,200,27080.808,4366.152,3990.398,2431.346,1693.68,974.75,White LED,100 mA,b'OK Read',09:00:04,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,250,7226.329,1051.145,965.79,583.617,537.593,350.239,White LED,12.5 mA,b'OK Read',09:00:06,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,250,13953.599,2070.66,1882.792,1130.464,913.386,554.036,White LED,25 mA,b'OK Read',09:00:08,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,250,23755.535,3737.521,3428.499,2083.674,1485.428,866.444,White LED,50 mA,b'OK Read',09:00:10,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,2,64,250,27072.562,4376.431,3995.111,2434.41,1696.289,976.275,White LED,100 mA,b'OK Read',09:00:11,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,50,7263.615,1064.851,964.681,584.56,537.593,347.798,White LED,12.5 mA,b'OK Read',09:00:16,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,50,14039.643,2071.715,1873.921,1121.978,908.167,549.154,White LED,25 mA,b'OK Read',09:00:17,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,50,23712.512,3621.547,3287.678,1979.961,1456.199,848.139,White LED,50 mA,b'OK Read',09:00:18,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,50,27003.725,4169.787,3797.74,2295.812,1649.315,951.868,White LED,100 mA,b'OK Read',09:00:19,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,100,7242.104,1051.672,964.681,582.203,532.374,344.747,White LED,12.5 mA,b'OK Read',09:00:20,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,100,13985.865,2053.264,1857.289,1110.193,905.558,546.104,White LED,25 mA,b'OK Read',09:00:21,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,100,23708.928,3605.733,3315.399,2001.175,1458.809,851.19,White LED,50 mA,b'OK Read',09:00:22,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,100,27057.505,4219.867,3869.813,2345.311,1662.363,961.021,White LED,100 mA,b'OK Read',09:00:23,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,150,7222.983,1047.279,960.985,581.417,532.374,345.764,White LED,12.5 mA,b'OK Read',09:00:24,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,150,13955.988,2052.386,1860.985,1114.121,906.427,549.155,White LED,25 mA,b'OK Read',09:00:25,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,150,23714.902,3654.933,3357.904,2031.818,1468.378,858.308,White LED,50 mA,b'OK Read',09:00:26,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,150,27056.31,4294.547,3934.495,2391.668,1678.891,966.105,White LED,100 mA,b'OK Read',09:00:27,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,200,7217.007,1049.036,963.295,581.024,533.679,347.798,White LED,12.5 mA,b'OK Read',09:00:28,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,200,13948.22,2057.218,1866.991,1118.443,908.167,549.155,White LED,25 mA,b'OK Read',09:00:29,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,200,23766.292,3690.077,3388.859,2054.21,1477.077,860.342,White LED,50 mA,b'OK Read',09:00:30,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,200,27057.505,4333.205,3962.678,2412.489,1688.46,973.224,White LED,100 mA,b'OK Read',09:00:32,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,250,7217.725,1050.091,963.572,582.674,536.549,350.239,White LED,12.5 mA,b'OK Read',09:00:33,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,250,13934.955,2061.172,1870.595,1121.978,910.255,551.595,White LED,25 mA,b'OK Read',09:00:35,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,250,23769.877,3708,3404.105,2063.874,1482.296,864.003,White LED,50 mA,b'OK Read',09:00:37,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,3,64,250,27065.393,4342.693,3969.608,2415.553,1688.982,973.834,White LED,100 mA,b'OK Read',09:00:39,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,4,64,50,7263.615,1064.851,964.681,584.56,532.374,347.798,White LED,12.5 mA,b'OK Read',09:00:43,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
