Fruit,Unnamed: 0,Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time,spot,phenols (FW),phenols (DW),carotene (FW),carotene (DW),%DM
1,25,Fruit 1 spot 1,2,64,100,9513.54,11452.188,28066.68,28252.593,23164.902,6923.249,White LED,25 mA,b'OK Read',08:57:29,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,26,Fruit 1 spot 1,2,64,100,15747.257,18955.029,46815.371,47059.912,38468.935,11492.135,White LED,50 mA,b'OK Read',08:57:30,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,27,Fruit 1 spot 1,2,64,100,17870.185,21482.366,53060.464,53299.692,43500.269,13007.456,White LED,100 mA,b'OK Read',08:57:31,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,28,Fruit 1 spot 1,2,64,150,4903.583,5862.61,14304.399,14418.39,11895.532,3580.833,White LED,12.5 mA,b'OK Read',08:57:32,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,29,Fruit 1 spot 1,2,64,150,9507.667,11428.842,28004.059,28186.803,23117.703,6917.136,White LED,25 mA,b'OK Read',08:57:34,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,30,Fruit 1 spot 1,2,64,150,15767.811,18974.315,46768.854,47010.768,38430.391,11494.428,White LED,50 mA,b'OK Read',08:57:35,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,31,Fruit 1 spot 1,2,64,150,17909.336,21499.621,53034.521,53337.738,43516.787,13013.568,White LED,100 mA,b'OK Read',08:57:36,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,32,Fruit 1 spot 1,2,64,200,4906.52,5852.46,14284.271,14398.573,11883.34,3576.248,White LED,12.5 mA,b'OK Read',08:57:37,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,33,Fruit 1 spot 1,2,64,200,9507.667,11417.17,27966.04,28145.586,23091.743,6912.933,White LED,25 mA,b'OK Read',08:57:38,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,34,Fruit 1 spot 1,2,64,200,15819.195,18979.39,46763.042,47050.4,38478.374,11511.621,White LED,50 mA,b'OK Read',08:57:39,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,35,Fruit 1 spot 1,2,64,200,17990.574,21496.069,53016.182,53288.989,43523.867,13015.48,White LED,100 mA,b'OK Read',08:57:40,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,36,Fruit 1 spot 1,2,64,250,4900.06,5848.807,14276.488,14393.342,11874.136,3574.414,White LED,12.5 mA,b'OK Read',08:57:42,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,37,Fruit 1 spot 1,2,64,250,9542.902,11397.986,27934.641,28095.172,23122.424,6924.166,White LED,25 mA,b'OK Read',08:57:43,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,38,Fruit 1 spot 1,2,64,250,15879.39,18970.254,46774.578,47026.621,38522.27,11524.689,White LED,50 mA,b'OK Read',08:57:44,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,39,Fruit 1 spot 1,2,64,250,18018.174,21491.502,52991.223,53310.152,43623.457,13046.886,White LED,100 mA,b'OK Read',08:57:46,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,40,Fruit 1 spot 1,3,64,50,4897.711,5895.091,14363.441,14486.559,11945.878,3571.663,White LED,12.5 mA,b'OK Read',08:57:51,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,41,Fruit 1 spot 1,3,64,50,9519.412,11473.502,28152.561,28302.531,23245.139,6923.249,White LED,25 mA,b'OK Read',08:57:52,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,42,Fruit 1 spot 1,3,64,50,15720.831,18970.254,46804.638,47036.133,38485.454,11457.748,White LED,50 mA,b'OK Read',08:57:53,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,43,Fruit 1 spot 1,3,64,50,17823.205,21473.232,53020.21,53271.157,43549.824,12966.191,White LED,100 mA,b'OK Read',08:57:54,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,44,Fruit 1 spot 1,3,64,100,4900.648,5867.686,14309.767,14412.842,11898.679,3560.201,White LED,12.5 mA,b'OK Read',08:57:56,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,45,Fruit 1 spot 1,3,64,100,9516.476,11418.693,27996.902,28183.633,23143.662,6895.74,White LED,25 mA,b'OK Read',08:57:57,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,46,Fruit 1 spot 1,3,64,100,15770.747,18939.805,46721.44,46971.929,38468.935,11469.21,White LED,50 mA,b'OK Read',08:57:58,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,47,Fruit 1 spot 1,3,64,100,17920.103,21458.008,52993.369,53264.024,43580.503,12998.286,White LED,100 mA,b'OK Read',08:57:59,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,48,Fruit 1 spot 1,3,64,150,4893.796,5850.43,14282.93,14396.196,11867.213,3551.795,White LED,12.5 mA,b'OK Read',08:58:00,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,49,Fruit 1 spot 1,3,64,150,9538.988,11388.242,27928.913,28109.124,23146.022,6904.91,White LED,25 mA,b'OK Read',08:58:01,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,50,Fruit 1 spot 1,3,64,150,15838.281,18935.744,46695.498,46939.43,38542.093,11503.598,White LED,50 mA,b'OK Read',08:58:02,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,51,Fruit 1 spot 1,3,64,150,18005.256,21448.872,52986.214,53236.279,43615.905,13027.323,White LED,100 mA,b'OK Read',08:58:03,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,52,Fruit 1 spot 1,3,64,200,4905.052,5840.281,14260.117,14375.983,11883.34,3556.762,White LED,12.5 mA,b'OK Read',08:58:04,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,53,Fruit 1 spot 1,3,64,200,9526.753,11391.288,27920.415,28102.781,23112.983,6896.886,White LED,25 mA,b'OK Read',08:58:05,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,54,Fruit 1 spot 1,3,64,200,15870.581,18941.327,46728.149,47017.109,38500.793,11490.989,White LED,50 mA,b'OK Read',08:58:07,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,55,Fruit 1 spot 1,3,64,200,18039.022,21461.052,52954.458,53225.972,43669.004,13037.257,White LED,100 mA,b'OK Read',08:58:08,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,56,Fruit 1 spot 1,3,64,250,4904.758,5835.409,14253.944,14368.611,11881.688,3556.991,White LED,12.5 mA,b'OK Read',08:58:09,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,57,Fruit 1 spot 1,3,64,250,9531.157,11379.717,27868.082,28074.246,23101.656,6896.657,White LED,25 mA,b'OK Read',08:58:11,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,58,Fruit 1 spot 1,3,64,250,15899.356,18944.676,46718.758,46969.551,38543.035,11514.602,White LED,50 mA,b'OK Read',08:58:13,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,59,Fruit 1 spot 1,3,64,250,18086.297,21454.961,52960.094,53280.668,43676.316,13048.72,White LED,100 mA,b'OK Read',08:58:14,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,60,Fruit 1 spot 1,4,64,50,4915.329,5882.91,14347.339,14448.511,11960.037,3585.418,White LED,12.5 mA,b'OK Read',08:58:19,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,61,Fruit 1 spot 1,4,64,50,9566.393,11443.052,28082.783,28259.727,23292.336,6946.173,White LED,25 mA,b'OK Read',08:58:20,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,62,Fruit 1 spot 1,4,64,50,15820.664,18933.715,46724.126,46964.795,38608.169,11499.013,White LED,50 mA,b'OK Read',08:58:21,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,63,Fruit 1 spot 1,4,64,50,17928.911,21448.872,52961.167,53228.35,43715.02,13021.211,White LED,100 mA,b'OK Read',08:58:22,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,64,Fruit 1 spot 1,4,64,100,4927.074,5849.415,14282.93,14398.573,11934.077,3578.54,White LED,12.5 mA,b'OK Read',08:58:23,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,65,Fruit 1 spot 1,4,64,100,9569.329,11388.242,27911.023,28100.403,23209.739,6925.542,White LED,25 mA,b'OK Read',08:58:24,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,66,Fruit 1 spot 1,4,64,100,15820.664,18930.669,46713.389,46964.795,38558.611,11499.013,White LED,50 mA,b'OK Read',08:58:25,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,67,Fruit 1 spot 1,4,64,100,17993.51,21436.692,53006.787,53275.913,43637.144,13012.041,White LED,100 mA,b'OK Read',08:58:26,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,68,Fruit 1 spot 1,4,64,150,4903.583,5844.34,14270.405,14385.098,11881.373,3564.021,White LED,12.5 mA,b'OK Read',08:58:27,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,69,Fruit 1 spot 1,4,64,150,9519.413,11388.242,27909.235,28115.465,23095.677,6891.155,White LED,25 mA,b'OK Read',08:58:29,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,70,Fruit 1 spot 1,4,64,150,15812.834,18951.984,46740.228,46990.16,38482.308,11479.145,White LED,50 mA,b'OK Read',08:58:30,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,71,Fruit 1 spot 1,4,64,150,17991.553,21467.142,52998.737,53269.57,43634.782,13021.21,White LED,100 mA,b'OK Read',08:58:31,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,72,Fruit 1 spot 1,4,64,200,4912.393,5838.758,14249.382,14365.282,11897.499,3567.078,White LED,12.5 mA,b'OK Read',08:58:32,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,73,Fruit 1 spot 1,4,64,200,9538.498,11376.062,27847.954,28055.222,23135.403,6907.202,White LED,25 mA,b'OK Read',08:58:33,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,74,Fruit 1 spot 1,4,64,200,15904.348,18933.715,46754.99,46971.929,38569.231,11512.767,White LED,50 mA,b'OK Read',08:58:34,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
