Fruit,Unnamed: 0,Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time,Spot,phenols (FW),phenols (DW),carotene (FW),carotene (DW),%DM
1,0,Fruit 1 spot 1,1,64,50,7256.444,1038.493,948.049,570.418,537.5930000000002,347.798,White LED,12.5 mA,b'OK Read',08:59:20,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,1,Fruit 1 spot 1,1,64,50,14039.643,2024.271,1824.024,1084.264,897.7289999999998,543.053,White LED,25 mA,b'OK Read',08:59:21,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,2,Fruit 1 spot 1,1,64,50,23597.785,3505.573,3237.781,1942.248,1435.322,835.935,White LED,50 mA,b'OK Read',08:59:22,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,3,Fruit 1 spot 1,1,64,50,26860.318,4122.343,3803.283,2295.812,1638.876,945.766,White LED,100 mA,b'OK Read',08:59:23,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,4,Fruit 1 spot 1,1,64,100,7227.763000000001,1051.672,959.137,577.489,532.374,341.696,White LED,12.5 mA,b'OK Read',08:59:24,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,5,Fruit 1 spot 1,1,64,100,13967.94,2047.993,1860.061,1107.836,902.948,543.053,White LED,25 mA,b'OK Read',08:59:25,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,6,Fruit 1 spot 1,1,64,100,23644.394,3600.461,3337.575,2010.604,1453.589,848.1389999999999,White LED,50 mA,b'OK Read',08:59:26,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,7,Fruit 1 spot 1,1,64,100,26992.971,4233.045,3905.85,2366.525,1654.535,954.919,White LED,100 mA,b'OK Read',08:59:27,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,8,Fruit 1 spot 1,1,64,150,7225.373,1047.279,957.289,576.703,527.154,335.594,White LED,12.5 mA,b'OK Read',08:59:29,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,9,Fruit 1 spot 1,1,64,150,13989.45,2050.628,1866.529,1114.121,889.029,534.9169999999998,White LED,25 mA,b'OK Read',08:59:30,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,10,Fruit 1 spot 1,1,64,150,23731.634,3681.291,3400.409,2056.96,1464.898,854.2410000000001,White LED,50 mA,b'OK Read',08:59:31,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,11,Fruit 1 spot 1,1,64,150,27025.238,4349.019,3991.785,2429.381,1675.412,968.139,White LED,100 mA,b'OK Read',08:59:32,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,12,Fruit 1 spot 1,1,64,200,7218.8,1051.672,963.295,582.203,536.288,347.798,White LED,12.5 mA,b'OK Read',08:59:33,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,13,Fruit 1 spot 1,1,64,200,13955.391,2069.079,1885.009,1129.05,909.472,550.68,White LED,25 mA,b'OK Read',08:59:34,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
1,14,Fruit 1 spot 1,1,64,200,23746.572,3741.474,3444.3,2090.745,1482.296,864.919,White LED,50 mA,b'OK Read',08:59:35,1,77.3183622278383,348.6055389460305,0.4102528723812728,1.8497083947432345,22.179326944030098
