Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
24A,1,64,50,7364.001,2187.688,765.092,584.56,668.077,555.256,White LED,12.5 mA,b'OK Read',09:50:10
24A,1,64,50,14118.518,4022.184,1269.609,857.984,944.702,726.104,White LED,25 mA,b'OK Read',09:50:11
24A,1,64,50,26379.903,7359.068,2189.938,1362.402,1456.199,1043.394,White LED,50 mA,b'OK Read',09:50:12
24A,1,64,50,34769.27,9599.471,2833.058,1715.967,1795.457,1263.055,White LED,100 mA,b'OK Read',09:50:13
24A,1,64,100,7317.393,2179.781,770.636,586.917,670.687,558.307,White LED,12.5 mA,b'OK Read',09:50:14
24A,1,64,100,14043.229,4019.548,1275.153,862.697,947.312,732.206,White LED,25 mA,b'OK Read',09:50:16
24A,1,64,100,26179.131,7345.889,2192.709,1364.759,1456.199,1043.394,White LED,50 mA,b'OK Read',09:50:17
24A,1,64,100,34858.899,9670.637,2869.095,1734.823,1811.115,1269.157,White LED,100 mA,b'OK Read',09:50:18
24A,1,64,150,7292.297,2178.903,774.332,590.846,673.296,561.358,White LED,12.5 mA,b'OK Read',09:50:19
24A,1,64,150,14010.962,4020.427,1278.85,867.412,953.402,738.308,White LED,25 mA,b'OK Read',09:50:20
24A,1,64,150,26064.404,7353.796,2197.329,1371.831,1461.418,1049.495,White LED,50 mA,b'OK Read',09:50:21
24A,1,64,150,34898.337,9727.746,2892.196,1753.68,1823.294,1279.327,White LED,100 mA,b'OK Read',09:50:23
24A,1,64,200,7286.919,2182.417,778.952,596.345,679.821,567.46,White LED,12.5 mA,b'OK Read',09:50:24
24A,1,64,200,13998.413,4027.456,1282.084,873.304,959.056,741.359,White LED,25 mA,b'OK Read',09:50:25
24A,1,64,200,26021.382,7359.068,2203.798,1376.545,1464.028,1054.072,White LED,50 mA,b'OK Read',09:50:26
24A,1,64,200,34882.205,9766.843,2905.132,1765.466,1833.297,1288.988,White LED,100 mA,b'OK Read',09:50:27
24A,1,64,250,7282.258,2190.851,781.725,599.645,684.779,572.341,White LED,12.5 mA,b'OK Read',09:50:28
24A,1,64,250,13996.621,4044.324,1285.133,875.897,965.58,746.85,White LED,25 mA,b'OK Read',09:50:29
24A,1,64,250,25995.568,7406.512,2199.917,1381.259,1471.857,1060.479,White LED,50 mA,b'OK Read',09:50:31
24A,1,64,250,34945.66,9831.419,2920.656,1776.308,1841.387,1296.005,White LED,100 mA,b'OK Read',09:50:33
24A,2,64,50,7349.66,2219.318,792.812,612.846,694.174,585.765,White LED,12.5 mA,b'OK Read',09:50:36
24A,2,64,50,14068.325,4080.171,1297.33,890.982,986.457,762.715,White LED,25 mA,b'OK Read',09:50:37
24A,2,64,50,26315.369,7469.77,2212.114,1395.402,1492.734,1086.106,White LED,50 mA,b'OK Read',09:50:38
