Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
1A,1,64,50,6646.961,1027.95,770.636,537.418,574.129,396.612,White LED,12.5 mA,b'OK Read',10:45:32
1A,1,64,50,12806.334,2124.43,1552.361,1018.266,902.948,579.663,White LED,25 mA,b'OK Read',10:45:33
1A,1,64,50,24135.567,4275.217,2999.383,1890.392,1529.27,909.156,White LED,50 mA,b'OK Read',10:45:34
1A,1,64,50,32510.594,5709.076,4036.137,2517.38,1972.915,1147.123,White LED,100 mA,b'OK Read',10:45:35
1A,1,64,100,6643.376,1085.937,814.989,570.418,584.567,399.663,White LED,12.5 mA,b'OK Read',10:45:36
1A,1,64,100,12867.283,2074.351,1483.059,964.053,905.558,573.562,White LED,25 mA,b'OK Read',10:45:37
1A,1,64,100,24304.07,4003.734,2833.058,1765.466,1505.783,887.8,White LED,50 mA,b'OK Read',10:45:38
1A,1,64,100,32883.454,5498.215,3928.027,2423.096,1962.476,1131.869,White LED,100 mA,b'OK Read',10:45:39
1A,1,64,150,6706.714,1034.979,802.053,554.703,575.868,392.544,White LED,12.5 mA,b'OK Read',10:45:40
1A,1,64,150,12976.033,1996.156,1459.958,942.839,897.728,567.46,White LED,25 mA,b'OK Read',10:45:41
1A,1,64,150,24267.023,3890.395,2783.161,1725.395,1496.214,880.681,White LED,50 mA,b'OK Read',10:45:42
1A,1,64,150,32878.675,5457.8,3882.749,2394.811,1965.956,1132.886,White LED,100 mA,b'OK Read',10:45:44
1A,1,64,200,6668.472,1030.586,798.357,555.096,579.348,396.612,White LED,12.5 mA,b'OK Read',10:45:45
1A,1,64,200,12965.875,1993.96,1452.566,935.768,900.338,567.46,White LED,25 mA,b'OK Read',10:45:46
1A,1,64,200,24244.915,3862.72,2755.44,1706.538,1496.649,877.122,White LED,50 mA,b'OK Read',10:45:47
1A,1,64,200,33091.397,5366.426,3876.743,2375.954,1969,1130.343,White LED,100 mA,b'OK Read',10:45:48
1A,1,64,250,6712.929,1015.298,803.901,558.161,581.436,399.052,White LED,12.5 mA,b'OK Read',10:45:49
1A,1,64,250,12984.16,1990.533,1452.566,936.239,902.948,568.68,White LED,25 mA,b'OK Read',10:45:51
1A,1,64,250,24182.891,3829.246,2722.175,1682.967,1494.822,876.207,White LED,50 mA,b'OK Read',10:45:53
1A,1,64,250,33087.094,5342.177,3838.766,2350.497,1967.696,1127.598,White LED,100 mA,b'OK Read',10:45:55
1A,2,64,50,6768.858,1001.592,792.812,546.846,579.348,396.612,White LED,12.5 mA,b'OK Read',10:45:59
1A,2,64,50,13071.64,1966.284,1480.286,952.267,897.729,567.46,White LED,25 mA,b'OK Read',10:46:01
1A,2,64,50,24544.28,3890.396,2871.867,1781.965,1503.173,872.545,White LED,50 mA,b'OK Read',10:46:02
1A,2,64,50,33148.76,5292.624,3875.358,2357.097,1889.405,1049.495,White LED,100 mA,b'OK Read',10:46:03
1A,2,64,100,6772.443,1022.678,834.394,593.989,644.59,454.578,White LED,12.5 mA,b'OK Read',10:46:04
1A,2,64,100,13186.366,1926.747,1488.603,971.124,962.97,622.375,White LED,25 mA,b'OK Read',10:46:05
1A,2,64,100,24762.976,3647.905,2752.668,1706.538,1557.976,924.41,White LED,50 mA,b'OK Read',10:46:06
1A,2,64,100,33568.228,4981.604,3806.055,2326.455,2006.841,1162.377,White LED,100 mA,b'OK Read',10:46:07
1A,2,64,150,6809.49,975.235,822.382,582.989,636.761,449.493,White LED,12.5 mA,b'OK Read',10:46:08
1A,2,64,150,13215.047,1850.31,1472.895,955.41,956.881,614.24,White LED,25 mA,b'OK Read',10:46:10
1A,2,64,150,24659.006,3568.831,2725.871,1684.539,1541.448,911.19,White LED,50 mA,b'OK Read',10:46:11
1A,2,64,150,33638.737,4986.875,3816.22,2320.955,2002.491,1151.191,White LED,100 mA,b'OK Read',10:46:12
1A,2,64,200,6831.599,952.831,824.692,583.381,638.066,451.527,White LED,12.5 mA,b'OK Read',10:46:14
1A,2,64,200,13227.595,1841.085,1474.743,954.624,956.446,614.748,White LED,25 mA,b'OK Read',10:46:15
1A,2,64,200,24639.287,3550.381,2722.175,1678.253,1541.014,909.156,White LED,50 mA,b'OK Read',10:46:16
1A,2,64,200,33663.235,4968.425,3815.758,2320.562,2005.536,1151.699,White LED,100 mA,b'OK Read',10:46:18
1A,2,64,250,6827.655,950.986,824.969,582.674,637.805,451.527,White LED,12.5 mA,b'OK Read',10:46:19
1A,2,64,250,13194.97,1868.233,1473.634,956.039,956.185,613.833,White LED,25 mA,b'OK Read',10:46:20
1A,2,64,250,24575.828,3579.375,2712.196,1674.482,1540.753,910.376,White LED,50 mA,b'OK Read',10:46:22
1A,2,64,250,33634.914,4998.473,3806.61,2318.441,2008.407,1152.004,White LED,100 mA,b'OK Read',10:46:23
1A,3,64,50,6890.755,927.791,759.548,490.276,490.619,311.188,White LED,12.5 mA,b'OK Read',10:46:30
