Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time
56A,1,64,50,3635.111,2691.767,5662.717,6748.663,10242.021,6088.792,White LED,12.5 mA,b'OK Read',10:00:57
56A,1,64,50,7017.704,5200.833,11024.853,13140.63,19724.149,11521.938,White LED,25 mA,b'OK Read',10:00:58
56A,1,64,50,11457.356,8404.157,18201.208,21610.94,32278.884,18683.603,White LED,50 mA,b'OK Read',10:00:59
56A,1,64,50,12919.622,9524.712,20530.703,24407.425,36380.412,21044.844,White LED,100 mA,b'OK Read',10:01:00
56A,1,64,100,3599.876,2655.227,5617.093,6696.348,10175.943,6049.819,White LED,12.5 mA,b'OK Read',10:01:01
56A,1,64,100,6926.679,5228.238,10992.649,13076.426,19603.794,11437.115,White LED,25 mA,b'OK Read',10:01:02
56A,1,64,100,11281.179,8391.978,18335.394,21541.978,32144.368,18447.479,White LED,50 mA,b'OK Read',10:01:03
56A,1,64,100,12640.675,10091.079,20758.823,24476.387,36080.703,20815.596,White LED,100 mA,b'OK Read',10:01:04
56A,1,64,150,3566.599,2699.887,5594.729,6672.568,10164.93,6036.829,White LED,12.5 mA,b'OK Read',10:01:05
56A,1,64,150,6855.23,5146.024,10930.028,13012.22,19606.154,11431.767,White LED,25 mA,b'OK Read',10:01:06
56A,1,64,150,11140.238,8300.628,17979.351,21400.093,32046.038,18500.205,White LED,50 mA,b'OK Read',10:01:07
56A,1,64,150,12625.994,9378.553,20341.053,24247.31,36227.803,20875.2,White LED,100 mA,b'OK Read',10:01:09
56A,1,64,200,3549.96,2617.164,5560.734,6659.489,10167.683,6016.578,White LED,12.5 mA,b'OK Read',10:01:10
56A,1,64,200,6911.998,5095.782,10906.769,13044.323,19666.332,11413.044,White LED,25 mA,b'OK Read',10:01:11
56A,1,64,200,11356.054,8373.708,18087.147,21583.594,32300.122,18572.418,White LED,50 mA,b'OK Read',10:01:12
56A,1,64,200,12869.705,9491.217,20455.559,24409.802,36490.149,20937.097,White LED,100 mA,b'OK Read',10:01:13
56A,1,64,250,3579.91,2651.573,5612.263,6714.42,10223.142,6021.851,White LED,12.5 mA,b'OK Read',10:01:14
56A,1,64,250,6989.516,5177.692,11022.707,13152.996,19752.469,11422.902,White LED,25 mA,b'OK Read',10:01:16
56A,1,64,250,11586.552,8552.753,18330.027,21809.736,32522.428,18630.418,White LED,50 mA,b'OK Read',10:01:18
56A,1,64,250,13244.961,9715.936,20826.99,24737.486,36807.082,21028.338,White LED,100 mA,b'OK Read',10:01:20
56A,2,64,50,3711.455,2710.036,5748.597,6829.514,10374.176,6056.697,White LED,12.5 mA,b'OK Read',10:01:23
56A,2,64,50,7182.135,5267.823,11250.289,13330.868,19997.899,11476.087,White LED,25 mA,b'OK Read',10:01:25
56A,2,64,50,11774.474,8605.127,18566.197,21967.634,32741.426,18656.094,White LED,50 mA,b'OK Read',10:01:26
56A,2,64,50,13354.191,9731.771,21035.249,24868.75,37012.869,21044.844,White LED,100 mA,b'OK Read',10:01:27
56A,2,64,100,3734.945,2713.081,5756.648,6834.27,10367.096,6058.989,White LED,12.5 mA,b'OK Read',10:01:28
56A,2,64,100,7255.542,5286.093,11279.811,13364.159,20026.218,11499.013,White LED,25 mA,b'OK Read',10:01:29
56A,2,64,100,11933.032,8681.251,18668.18,22041.35,32854.702,18708.819,White LED,50 mA,b'OK Read',10:01:30
56A,2,64,100,13603.774,9841.391,21188.223,24985.271,37159.182,21102.156,White LED,100 mA,b'OK Read',10:01:31
56A,2,64,150,3789.756,2740.486,5796.905,6858.049,10397.775,6061.282,White LED,12.5 mA,b'OK Read',10:01:32
56A,2,64,150,7366.142,5318.573,11352.271,13381.597,20079.709,11502.069,White LED,25 mA,b'OK Read',10:01:33
56A,2,64,150,12156.19,8733.016,18793.421,22132.506,32975.843,18737.093,White LED,50 mA,b'OK Read',10:01:35
56A,2,64,150,13839.655,9942.89,21357.3,25081.182,37277.178,21150.296,White LED,100 mA,b'OK Read',10:01:36
56A,2,64,200,3842.12,2770.936,5835.819,6878.262,10427.274,6069.305,White LED,12.5 mA,b'OK Read',10:01:37
56A,2,64,200,7455.209,5388.101,11422.049,13428.364,20131.234,11521.937,White LED,25 mA,b'OK Read',10:01:38
56A,2,64,200,12319.153,8838.068,18920.453,22204.241,33106.033,18790.203,White LED,50 mA,b'OK Read',10:01:39
56A,2,64,200,13944.382,9996.685,21427.078,25111.304,37432.932,21197.292,White LED,100 mA,b'OK Read',10:01:40
56A,2,64,250,3860.618,2780.68,5850.58,6879.926,10458.189,6078.705,White LED,12.5 mA,b'OK Read',10:01:41
56A,2,64,250,7491.032,5394.495,11400.579,13376.524,20162.148,11530.19,White LED,25 mA,b'OK Read',10:01:43
56A,2,64,250,12322.97,8873.085,18937.629,22159.773,33142.613,18789.057,White LED,50 mA,b'OK Read',10:01:45
56A,2,64,250,14108.227,10272.56,21624.602,25241.615,37536.77,21224.572,White LED,100 mA,b'OK Read',10:01:47
56A,3,64,50,3887.632,2844.015,5920.357,6919.876,10534.649,6107.132,White LED,12.5 mA,b'OK Read',10:01:52
56A,3,64,50,7552.106,5535.782,11566.971,13506.837,20318.846,11576.957,White LED,25 mA,b'OK Read',10:01:53
56A,3,64,50,12320.621,8994.885,18995.598,22162.627,33170.93,18761.547,White LED,50 mA,b'OK Read',10:01:54
56A,3,64,50,13929.701,10091.079,21373.404,24959.114,37390.454,21136.543,White LED,100 mA,b'OK Read',10:01:55
56A,3,64,100,3817.161,2773.981,5799.588,6805.734,10430.813,6054.404,White LED,12.5 mA,b'OK Read',10:01:56
56A,3,64,100,7334.822,5356.128,11312.016,13233.372,20101.734,11494.427,White LED,25 mA,b'OK Read',10:01:57
56A,3,64,100,11988.822,8733.016,18622.556,21770.264,32871.221,18646.924,White LED,50 mA,b'OK Read',10:01:58
56A,3,64,100,13503.942,9813.986,20911.797,24488.276,37001.069,20987.532,White LED,100 mA,b'OK Read',10:02:00
