Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
12A,1,64,50,7055.674,2372.193,798.357,636.416,746.367,610.172,White LED,12.5 mA,b'OK Read',09:41:09
12A,1,64,50,13487.522,4259.403,1269.609,905.125,1012.554,774.918,White LED,25 mA,b'OK Read',09:41:10
12A,1,64,50,25089.229,7517.213,2128.952,1367.116,1482.296,1049.495,White LED,50 mA,b'OK Read',09:41:11
12A,1,64,50,32080.369,9430.782,2655.646,1659.396,1738.044,1220.343,White LED,100 mA,b'OK Read',09:41:12
12A,1,64,100,7037.748,2290.484,792.813,624.631,717.661,594.918,White LED,12.5 mA,b'OK Read',09:41:13
12A,1,64,100,13458.84,4135.522,1275.153,900.411,1002.115,771.867,White LED,25 mA,b'OK Read',09:41:14
12A,1,64,100,24981.675,7443.413,2145.584,1383.616,1479.686,1064.75,White LED,50 mA,b'OK Read',09:41:15
12A,1,64,100,32191.511,9430.782,2705.543,1694.753,1771.97,1247.801,White LED,100 mA,b'OK Read',09:41:16
12A,1,64,150,6909.876,2177.145,687.474,498.133,608.924,427.12,White LED,12.5 mA,b'OK Read',09:41:17
12A,1,64,150,13234.168,3929.053,1142.094,738.557,782.903,557.29,White LED,25 mA,b'OK Read',09:41:19
12A,1,64,150,24575.352,7202.679,1988.5,1202.12,1228.287,823.732,White LED,50 mA,b'OK Read',09:41:20
12A,1,64,150,31870.039,9237.493,2594.66,1557.255,1539.709,1059.665,White LED,100 mA,b'OK Read',09:41:21
12A,1,64,200,6878.206,2117.841,677.772,485.562,538.898,410.341,White LED,12.5 mA,b'OK Read',09:41:22
12A,1,64,200,13182.781,3920.707,1143.48,738.95,784.208,558.307,White LED,25 mA,b'OK Read',09:41:23
12A,1,64,200,24501.257,7161.385,1986.19,1192.691,1213.499,813.054,White LED,50 mA,b'OK Read',09:41:24
12A,1,64,200,31721.851,9197.517,2560.009,1516.792,1525.355,1006.783,White LED,100 mA,b'OK Read',09:41:25
12A,1,64,250,6836.259,2087.529,649.774,451.62,498.97,366.103,White LED,12.5 mA,b'OK Read',09:41:27
12A,1,64,250,13136.173,3891.45,1116.591,708.072,746.367,518.646,White LED,25 mA,b'OK Read',09:41:28
12A,1,64,250,24423.816,7157.695,1992.566,1204.948,1226.548,827.393,White LED,50 mA,b'OK Read',09:41:30
12A,1,64,250,31741.928,9380.176,2696.672,1687.681,1722.386,1230.106,White LED,100 mA,b'OK Read',09:41:32
12A,2,64,50,7005.481,2277.304,787.269,617.559,720.271,597.968,White LED,12.5 mA,b'OK Read',09:41:38
12A,2,64,50,13301.093,4085.442,1219.712,834.413,955.141,689.494,White LED,25 mA,b'OK Read',09:41:39
12A,2,64,50,24845.437,7417.055,2134.496,1381.259,1482.296,1067.801,White LED,50 mA,b'OK Read',09:41:40
12A,2,64,50,31614.295,9288.451,2655.646,1668.825,1748.483,1238.649,White LED,100 mA,b'OK Read',09:41:41
12A,2,64,100,7001.896,2290.484,806.673,643.487,746.367,622.375,White LED,12.5 mA,b'OK Read',09:41:42
12A,2,64,100,13290.337,4095.985,1272.381,900.411,1004.725,774.918,White LED,25 mA,b'OK Read',09:41:43
12A,2,64,100,24572.961,7388.061,2123.407,1371.831,1464.028,1055.597,White LED,50 mA,b'OK Read',09:41:44
