Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time
24A,1,64,50,4292.838,3300.763,5947.195,6653.543,9449.09,5584.449,White LED,12.5 mA,b'OK Read',09:59:09
24A,1,64,50,7904.46,6424.917,11459.622,12750.645,17807.9,10380.289,White LED,25 mA,b'OK Read',09:59:10
24A,1,64,50,14963.272,12064.229,21614.939,24122.07,33576.836,19412.607,White LED,50 mA,b'OK Read',09:59:11
24A,1,64,50,18991.844,15103.124,27379.639,30680.496,42733.296,24671.526,White LED,100 mA,b'OK Read',09:59:13
24A,1,64,100,4254.667,3279.448,5858.631,6579.827,9383.012,5586.741,White LED,12.5 mA,b'OK Read',09:59:14
24A,1,64,100,8368.391,6354.883,11617.963,13028.866,18348.32,10662.262,White LED,25 mA,b'OK Read',09:59:15
24A,1,64,100,15999.777,12055.094,22127.536,24859.238,34539.68,19816.082,White LED,50 mA,b'OK Read',09:59:16
24A,1,64,100,21616.877,15733.435,29481.018,33158.332,45128.608,25586.221,White LED,100 mA,b'OK Read',09:59:17
24A,1,64,150,5122.826,3586.992,6510.783,7416.078,10090.986,5864.13,White LED,12.5 mA,b'OK Read',09:59:18
24A,1,64,150,10065.56,7060.304,12697.726,14465.949,19466.131,11110.821,White LED,25 mA,b'OK Read',09:59:19
24A,1,64,150,18839.157,13231.473,23896.129,27173.791,36320.628,20505.35,White LED,50 mA,b'OK Read',09:59:20
24A,1,64,150,24003.091,16777.865,30539.31,34734.131,46307.777,26076.043,White LED,100 mA,b'OK Read',09:59:21
24A,1,64,200,5203.084,3631.144,6494.68,7414.493,10073.287,5857.252,White LED,12.5 mA,b'OK Read',09:59:22
24A,1,64,200,10074.369,7061.32,12686.096,14456.834,19452.759,11098.977,White LED,25 mA,b'OK Read',09:59:23
24A,1,64,200,18890.542,13221.323,23841.113,27138.518,36245.896,20464.85,White LED,50 mA,b'OK Read',09:59:24
24A,1,64,200,24118.584,16799.18,30594.775,34781.294,46349.863,26075.662,White LED,100 mA,b'OK Read',09:59:26
24A,1,64,250,5218.352,3623.532,6515.077,7414.493,10082.49,5843.039,White LED,12.5 mA,b'OK Read',09:59:27
24A,1,64,250,10086.701,7037.568,12718.838,14462.778,19472.111,11079.032,White LED,25 mA,b'OK Read',09:59:29
24A,1,64,250,18886.139,13159.206,23874.66,27104.037,36238.816,20403.869,White LED,50 mA,b'OK Read',09:59:31
24A,1,64,250,24151.471,16762.031,30619.465,34768.691,46349.625,26040.586,White LED,100 mA,b'OK Read',09:59:33
24A,2,64,50,5038.653,3580.902,6537.62,7371.689,10053.228,5763.261,White LED,12.5 mA,b'OK Read',09:59:36
24A,2,64,50,9818.913,6930.385,12763.926,14396.195,19473.998,11013.009,White LED,25 mA,b'OK Read',09:59:37
24A,2,64,50,18422.206,13032.534,24116.196,27151.596,36484.248,20430.463,White LED,50 mA,b'OK Read',09:59:38
24A,2,64,50,23267.065,16461.186,30616.245,34475.725,46197.647,25813.174,White LED,100 mA,b'OK Read',09:59:39
24A,2,64,100,5088.569,3580.902,6518.834,7364.555,10060.307,5802.233,White LED,12.5 mA,b'OK Read',09:59:41
24A,2,64,100,9839.467,6939.52,12718.302,14362.904,19429.16,11017.594,White LED,25 mA,b'OK Read',09:59:42
24A,2,64,100,18431.016,13023.4,23957.856,27032.698,36295.454,20368.566,White LED,50 mA,b'OK Read',09:59:43
24A,2,64,100,23387.451,16491.637,30538.416,34449.568,46141.011,25836.099,White LED,100 mA,b'OK Read',09:59:44
24A,2,64,150,5091.505,3576.842,6498.258,7354.251,10039.068,5795.356,White LED,12.5 mA,b'OK Read',09:59:45
24A,2,64,150,9840.445,6940.535,12681.624,14340.71,19387.467,11006.896,White LED,25 mA,b'OK Read',09:59:46
24A,2,64,150,18441.781,13024.414,23856.768,26940.75,36160.153,20325.01,White LED,50 mA,b'OK Read',09:59:47
24A,2,64,150,23462.816,16509.907,30496.371,34426.582,46090.664,25834.57,White LED,100 mA,b'OK Read',09:59:48
24A,2,64,200,5087.101,3577.857,6483.945,7344.343,10020.189,5790.771,White LED,12.5 mA,b'OK Read',09:59:49
24A,2,64,200,9833.594,6944.087,12661.943,14323.668,19360.723,10995.817,White LED,25 mA,b'OK Read',09:59:50
24A,2,64,200,18416.334,12997.517,23784.753,26870.996,36063.003,20276.868,White LED,50 mA,b'OK Read',09:59:51
24A,2,64,200,23484.348,16535.789,30464.612,34422.222,46031.274,25841.831,White LED,100 mA,b'OK Read',09:59:53
24A,2,64,250,5093.855,3582.12,6479.651,7346.958,10013.581,5796.273,White LED,12.5 mA,b'OK Read',09:59:54
24A,2,64,250,9850.624,6969.361,12647.987,14322.003,19332.404,11002.923,White LED,25 mA,b'OK Read',09:59:56
24A,2,64,250,18435.125,13026.444,23720.076,26830.096,35959.402,20262.654,White LED,50 mA,b'OK Read',09:59:58
24A,2,64,250,23560.691,16572.023,30418.721,34396.777,45982.426,25849.854,White LED,100 mA,b'OK Read',10:00:00
24A,3,64,50,5026.908,3629.622,6548.355,7390.713,10020.189,5772.431,White LED,12.5 mA,b'OK Read',10:00:11
24A,3,64,50,9824.785,7015.644,12790.763,14434.243,19440.96,11054.273,White LED,25 mA,b'OK Read',10:00:12
24A,3,64,50,18422.206,13184.784,24153.769,27232.446,36408.731,20503.821,White LED,50 mA,b'OK Read',10:00:13
24A,3,64,50,23225.957,16589.076,30616.245,34504.26,46018.296,25845.269,White LED,100 mA,b'OK Read',10:00:14
24A,3,64,100,5082.697,3608.307,6521.518,7374.068,10027.269,5809.11,White LED,12.5 mA,b'OK Read',10:00:15
24A,3,64,100,9830.658,6997.375,12729.037,14384.306,19367.803,11031.349,White LED,25 mA,b'OK Read',10:00:16
24A,3,64,100,18416.334,13117.794,24000.796,27065.989,36191.619,20396.075,White LED,50 mA,b'OK Read',10:00:17
24A,3,64,100,23375.705,16601.256,30597.458,34497.126,46011.216,25861.316,White LED,100 mA,b'OK Read',10:00:18
24A,3,64,150,5081.718,3597.142,6503.626,7355.836,10002.882,5796.884,White LED,12.5 mA,b'OK Read',10:00:19
24A,3,64,150,9822.828,6983.165,12701.305,14351.807,19324.538,11006.896,White LED,25 mA,b'OK Read',10:00:20
24A,3,64,150,18400.674,13075.164,23887.184,26955.018,36039.01,20320.425,White LED,50 mA,b'OK Read',10:00:21
24A,3,64,150,23425.623,16595.166,30571.517,34466.214,45964.805,25840.684,White LED,100 mA,b'OK Read',10:00:22
24A,3,64,200,5078.292,3588.514,6497.364,7349.099,9987.15,5786.186,White LED,12.5 mA,b'OK Read',10:00:23
24A,3,64,200,9823.317,6969.97,12692.806,14342.692,19314.705,11000.402,White LED,25 mA,b'OK Read',10:00:24
24A,3,64,200,18419.27,13047.759,23853.189,26906.665,35980.408,20280.306,White LED,50 mA,b'OK Read',10:00:25
24A,3,64,200,23523.989,16589.076,30563.911,34470.969,45981.714,25855.583,White LED,100 mA,b'OK Read',10:00:27
24A,3,64,250,5080.935,3585.774,6491.46,7346.007,9982.43,5780.684,White LED,12.5 mA,b'OK Read',10:00:29
24A,3,64,250,9825.96,6963.271,12673.751,14324.856,19284.262,10979.081,White LED,25 mA,b'OK Read',10:00:30
24A,3,64,250,18405.764,13025.227,23781.266,26840.559,35883.887,20231.477,White LED,50 mA,b'OK Read',10:00:32
24A,3,64,250,23557.168,16591.512,30513.19,34441.484,45924.844,25836.1,White LED,100 mA,b'OK Read',10:00:34
24A,4,64,50,5114.995,3629.622,6553.722,7462.052,10062.667,5850.375,White LED,12.5 mA,b'OK Read',10:00:57
24A,4,64,50,9907.001,7015.644,12785.396,14543.629,19426.801,11127.633,White LED,25 mA,b'OK Read',10:00:58
24A,4,64,50,18569.02,13178.694,24148.404,27422.683,36389.851,20636.784,White LED,50 mA,b'OK Read',10:00:59
24A,4,64,50,23672.27,16777.865,30911.458,35108.264,46452.52,26290.007,White LED,100 mA,b'OK Read',10:01:00
24A,4,64,100,5144.358,3623.532,6529.569,7450.162,10022.549,5838.912,White LED,12.5 mA,b'OK Read',10:01:01
24A,4,64,100,9980.408,7033.915,12766.609,14557.897,19393.761,11123.048,White LED,25 mA,b'OK Read',10:01:02
24A,4,64,100,18930.182,13318.762,24263.804,27584.385,36399.292,20634.492,White LED,50 mA,b'OK Read',10:01:03
24A,4,64,100,24297.698,17045.824,31252.295,35555.322,46747.51,26450.481,White LED,100 mA,b'OK Read',10:01:04
24A,4,64,150,5240.277,3662.102,6578.771,7512.781,10050.081,5853.431,White LED,12.5 mA,b'OK Read',10:01:05
