Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time
12A,3,64,100,3356.166,2219.794,5179.642,5809.367,8993.627,5268.088,White LED,12.5 mA,b'OK Read',09:50:49
12A,3,64,100,6477.428,4296.474,10128.481,11335.756,17203.762,9644.407,White LED,25 mA,b'OK Read',09:50:50
12A,3,64,100,12159.126,8050.939,19097.58,21320.828,31974.455,17484.642,White LED,50 mA,b'OK Read',09:50:51
12A,3,64,100,15300.944,10097.169,24121.565,26920.932,40229.429,21860.962,White LED,100 mA,b'OK Read',09:50:52
12A,3,64,150,3368.889,2218.779,5165.328,5800.647,8975.534,5258.918,White LED,12.5 mA,b'OK Read',09:50:53
12A,3,64,150,6497.003,4297.488,10105.221,11317.524,17172.297,9629.888,White LED,25 mA,b'OK Read',09:50:54
12A,3,64,150,12189.468,8038.76,19022.435,21255.83,31871.406,17439.557,White LED,50 mA,b'OK Read',09:50:56
12A,3,64,150,15329.328,10143.859,24098.306,26924.896,40178.298,21859.434,White LED,100 mA,b'OK Read',09:50:57
12A,3,64,200,3363.506,2218.271,5160.856,5796.288,8965.308,5250.895,White LED,12.5 mA,b'OK Read',09:50:58
12A,3,64,200,6505.323,4291.906,10097.618,11308.409,17161.284,9618.044,White LED,25 mA,b'OK Read',09:50:59
12A,3,64,200,12198.766,8022.012,18983.52,21212.629,31804.541,17398.676,White LED,50 mA,b'OK Read',09:51:00
12A,3,64,200,15443.352,10101.736,24100.095,26918.555,40212.91,21870.132,White LED,100 mA,b'OK Read',09:51:01
12A,3,64,250,3368.498,2214.313,5163.539,5798.428,8965.779,5251.583,White LED,12.5 mA,b'OK Read',09:51:03
12A,3,64,250,6504.442,4295.864,10090.908,11302.94,17141.461,9596.266,White LED,25 mA,b'OK Read',09:51:04
12A,3,64,250,12203.17,8011.963,18944.07,21178.15,31718.168,17320.961,White LED,50 mA,b'OK Read',09:51:06
12A,3,64,250,15477.707,10095.951,24075.404,26894.775,40147.777,21794.021,White LED,100 mA,b'OK Read',09:51:08
12A,4,64,50,3400.209,2216.749,5201.111,5835.525,8953.509,5176.39,White LED,12.5 mA,b'OK Read',09:51:11
12A,4,64,50,6565.517,4317.788,10182.156,11404.717,17232.082,9623.775,White LED,25 mA,b'OK Read',09:51:12
12A,4,64,50,12332.365,8093.569,19242.504,21501.553,32104.25,17500.69,White LED,50 mA,b'OK Read',09:51:13
12A,4,64,50,15433.075,10237.238,24196.709,27070.745,40212.91,21856.377,White LED,100 mA,b'OK Read',09:51:14
12A,4,64,100,3391.401,2250.244,5182.325,5833.146,8979.467,5272.673,White LED,12.5 mA,b'OK Read',09:51:15
12A,4,64,100,6536.154,4354.328,10125.797,11369.047,17163.644,9642.115,White LED,25 mA,b'OK Read',09:51:16
12A,4,64,100,12247.214,8166.648,19089.529,21387.41,31896.577,17468.595,White LED,50 mA,b'OK Read',09:51:18
12A,4,64,100,15433.075,10243.329,24151.086,27035.076,40194.031,21877.009,White LED,100 mA,b'OK Read',09:51:19
12A,4,64,150,3384.549,2247.199,5165.328,5819.671,8962.948,5272.673,White LED,12.5 mA,b'OK Read',09:51:20
12A,4,64,150,6532.239,4344.178,10083.752,11338.134,17128.246,9639.058,White LED,25 mA,b'OK Read',09:51:21
12A,4,64,150,12214.915,8126.049,18977.707,21304.974,31794.316,17441.086,White LED,50 mA,b'OK Read',09:51:22
12A,4,64,150,15436.99,10216.939,24064.311,27000.991,40145.26,21890,White LED,100 mA,b'OK Read',09:51:23
12A,4,64,200,3369.379,2245.676,5152.804,5814.122,8955.868,5269.235,White LED,12.5 mA,b'OK Read',09:51:24
12A,4,64,200,6506.791,4339.103,10081.515,11353.59,17124.706,9635.237,White LED,25 mA,b'OK Read',09:51:25
12A,4,64,200,12391.091,8134.677,19033.17,21381.465,31790.381,17408.992,White LED,50 mA,b'OK Read',09:51:27
12A,4,64,200,15823.6,10252.463,24240.991,27209.856,40244.768,21890.764,White LED,100 mA,b'OK Read',09:51:28
12A,4,64,250,3451.888,2255.725,5190.377,5863.109,8968.611,5265.337,White LED,12.5 mA,b'OK Read',09:51:29
12A,4,64,250,6691.19,4389.65,10164.979,11458.935,17167.893,9641.197,White LED,25 mA,b'OK Read',09:51:31
12A,4,64,250,12595.457,8232.421,19110.463,21499.65,31792.742,17419.996,White LED,50 mA,b'OK Read',09:51:33
12A,4,64,250,16027.378,10413.848,24389.94,27423.635,40325.242,21955.412,White LED,100 mA,b'OK Read',09:51:34
12B,1,64,50,2930.405,2302.008,5120.599,6120.88,9335.814,5570.694,White LED,12.5 mA,b'OK Read',09:51:51
12B,1,64,50,5602.417,4403.048,9940.619,11842.262,17873.977,10435.307,White LED,25 mA,b'OK Read',09:51:52
12B,1,64,50,10464.894,8178.828,18759.428,22300.55,33317.246,19032.058,White LED,50 mA,b'OK Read',09:51:53
12B,1,64,50,13224.995,10377.307,24024.949,28468.989,42374.59,24020.467,White LED,100 mA,b'OK Read',09:51:54
12B,1,64,100,2856.998,2228.929,5056.189,6025.762,9319.294,5699.072,White LED,12.5 mA,b'OK Read',09:51:55
12B,1,64,100,5520.202,4317.788,9870.841,11740.01,17793.74,10430.723,White LED,25 mA,b'OK Read',09:51:56
12B,1,64,100,10332.761,8057.029,18593.035,22084.155,33050.576,18908.264,White LED,50 mA,b'OK Read',09:51:57
12B,1,64,100,13251.421,10331.633,23941.753,28430.94,42358.071,24084.653,White LED,100 mA,b'OK Read',09:51:58
12B,1,64,150,2857.977,2224.869,5041.876,6011.494,9287.043,5659.336,White LED,12.5 mA,b'OK Read',09:51:59
12B,1,64,150,5508.457,4305.608,9847.581,11720.193,17746.543,10386.402,White LED,25 mA,b'OK Read',09:52:00
12B,1,64,150,10323.953,8057.03,18519.679,21999.341,32905.049,18816.566,White LED,50 mA,b'OK Read',09:52:01
12B,1,64,150,13293.507,10330.618,23924.756,28405.576,42324.245,24055.617,White LED,100 mA,b'OK Read',09:52:02
