Fruit number,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time
12A,1,64,50,66.4,160.4,471.65,304.05,896.9,1369.9,298.25,519.85,6861.6,902.5,1158.6,370.95,710.15,470.45,354.85,211.15,81.35,58.45,b'White',12.5 mA,b'OK Read',09:08:01
12A,1,64,50,37.95,36.65,62.6,26.85,49.2,35.55,24.2,36.55,166.1,108.3,255.7,85.9,244.25,282.25,613.3,895.9,540.25,170.5,b'IR',12.5 mA,b'OK Read',09:08:02
12A,1,64,50,768.25,160.4,54.25,31.3,30.25,32.3,13.45,20.9,166.1,85.75,203.55,81.75,221.65,252.35,175.25,125.55,42.3,19.5,b'UV',12.5 mA,b'OK Read',09:08:03
12A,1,64,50,85.35,178.7,471.65,321.9,900.65,1350.5,317.05,551.2,6907.4,943.1,1247.3,398.2,741.85,508.95,762.25,981.5,579.35,219.25,b'White IR',12.5 mA,b'OK Read',09:08:04
12A,1,64,50,792,293.3,475.8,321.9,889.3,1344.05,306.3,532.9,6895.95,922.8,1216,389.8,719.2,479,368,216.85,87.9,63.35,b'White UV',12.5 mA,b'OK Read',09:08:05
12A,1,64,50,763.55,174.15,66.8,44.7,53,42,29.55,44.4,189,112.8,224.4,100.6,253.3,295.1,578.25,895.9,537,180.25,b'UV IR',12.5 mA,b'OK Read',09:08:06
12A,1,64,50,777.75,302.45,488.3,335.3,908.25,1350.5,319.75,556.4,6907.4,949.85,1252.5,404.45,746.35,517.5,766.65,981.5,582.6,224.1,b'White UV IR',12.5 mA,b'OK Read',09:08:07
12A,1,64,50,118.55,316.2,818.05,558.85,1687.8,2571.75,577.7,1005.7,13144.7,1692.15,2082.3,668.55,1176.1,688.55,547.6,296.75,130.2,102.3,b'White',25 mA,b'OK Read',09:08:09
12A,1,64,50,56.9,55,66.8,44.7,68.1,48.45,40.3,65.3,200.45,135.35,276.6,109,280.45,333.6,994.45,1711.95,1096.8,360.55,b'IR',25 mA,b'OK Read',09:08:10
12A,1,64,50,1067.05,210.8,62.6,40.25,34.05,35.55,16.1,23.5,166.1,88,208.75,85.9,230.7,265.15,179.6,131.25,42.3,19.5,b'UV',25 mA,b'OK Read',09:08:11
12A,1,64,50,142.25,343.7,855.6,585.7,1744.55,2626.65,607.25,1050.1,13161.85,1737.3,2144.95,695.75,1225.85,757,1358.05,1877.45,1184.7,448.25,b'White IR',25 mA,b'OK Read',09:08:12
12A,1,64,50,1081.25,485.75,847.25,576.75,1706.7,2604.05,580.4,1008.3,13121.75,1692.15,2155.4,674.8,1185.15,692.85,547.6,302.45,133.45,107.2,b'White UV',25 mA,b'OK Read',09:08:12
12A,1,64,50,1019.6,219.95,83.45,67.05,79.45,54.9,48.35,75.75,206.2,144.4,281.8,119.45,284.95,333.6,994.45,1711.95,1100.05,370.3,b'UV IR',25 mA,b'OK Read',09:08:13
12A,1,64,50,1024.35,494.9,868.15,608.05,1752.15,2620.2,612.65,1057.95,13156.15,1746.3,2218,704.15,1230.35,757,1349.25,1871.7,1191.2,458,b'White UV IR',25 mA,b'OK Read',09:08:14
12A,1,64,50,199.2,632.4,1439.95,992.55,3193.95,4881.8,1080.15,1867.75,24399.3,3086.55,3726.25,1179.9,2017.45,1064.9,867.4,445.1,208.3,180.25,b'White',50 mA,b'OK Read',09:08:16
12A,1,64,50,85.35,82.5,91.8,71.55,109.75,71.1,75.25,120.15,234.85,189.5,328.8,140.4,330.2,397.75,1739.15,3184.2,2239.2,760.05,b'IR',50 mA,b'OK Read',09:08:17
12A,1,64,50,1342.1,252.05,66.8,44.7,37.85,35.55,16.1,26.1,171.85,92.5,219.2,92.2,235.2,269.45,188.35,131.25,45.55,24.35,b'UV',50 mA,b'OK Read',09:08:18
12A,1,64,50,251.35,678.2,1485.85,1046.2,3269.65,4917.35,1139.3,1961.8,24382.1,3167.75,3955.9,1232.3,2103.4,1193.2,2413.8,3486.65,2401.95,925.7,b'White IR',50 mA,b'OK Read',09:08:19
12A,1,64,50,1299.4,820.25,1464.95,1019.4,3201.5,4888.25,1082.85,1867.75,24336.3,3084.25,3835.85,1188.25,2021.95,1069.2,867.4,450.8,211.55,185.15,b'White UV',50 mA,b'OK Read',09:08:20
12A,1,64,50,1180.85,265.8,112.7,93.9,124.9,74.3,80.6,130.6,240.55,198.55,349.65,150.9,330.2,397.75,1734.8,3172.8,2239.2,769.8,b'UV IR',50 mA,b'OK Read',09:08:20
12A,1,64,50,1142.9,824.85,1485.85,1059.6,3235.55,4872.1,1133.9,1951.35,24164.45,3136.15,3919.35,1232.3,2089.8,1188.95,2378.75,3452.4,2405.2,930.6,b'White UV IR',50 mA,b'OK Read',09:08:21
12A,1,64,50,246.6,838.6,1782.15,1247.4,4056.75,6254.9,1375.75,2371.9,31003.1,3878.45,4676.1,1485.85,2519.55,1295.85,1051.4,536.4,253.85,224.1,b'White',100 mA,b'OK Read',09:08:23
12A,1,64,50,128.05,123.75,137.75,120.7,193,103.4,131.65,216.8,297.85,288.8,443.6,194.9,411.65,504.65,2895.7,5415.45,4458.85,1632.15,b'IR',100 mA,b'OK Read',09:08:24
12A,1,64,50,1546.05,284.1,70.95,49.2,41.65,38.75,18.8,28.75,177.55,94.75,203.55,94.3,239.75,269.45,188.35,136.95,45.55,24.35,b'UV',100 mA,b'OK Read',09:08:25
12A,1,64,50,313,779.05,1631.9,1171.4,3602.65,5369.65,1287.05,2209.95,26489.85,3492.65,4368.2,1378.95,2338.6,1368.55,3596.6,5729.3,4634.6,1812.45,b'White IR',100 mA,b'OK Read',09:08:26
12A,1,64,50,1436.95,1008.15,1757.15,1242.95,3943.25,6057.85,1343.5,2314.45,30109.65,3776.95,4550.85,1456.5,2456.2,1265.9,1029.5,525,253.85,224.1,b'White UV',100 mA,b'OK Read',09:08:27
12A,1,64,50,1142.9,297.85,154.45,143.05,204.35,109.85,139.7,224.65,297.85,295.55,443.6,203.3,411.65,500.4,2869.4,5386.9,4462.1,1641.9,b'UV IR',100 mA,b'OK Read',09:08:28
12A,1,64,50,1067.05,898.15,1619.4,1171.4,3538.3,5263.05,1265.6,2170.75,25962.9,3431.75,4159.4,1362.2,2302.4,1347.15,3482.7,5615.15,4615.1,1822.2,b'White UV IR',100 mA,b'OK Read',09:08:29
12A,1,64,100,75.875,169.55,469.55,310.725,881.75,1340.8,298.25,519.825,6850.125,910.4,1223.825,384.55,730.525,489.675,374.55,222.55,87.875,60.9,b'White',12.5 mA,b'OK Read',09:08:31
12A,1,64,100,42.675,43.525,56.35,29.05,43.525,38.775,22.85,39.175,186.15,108.3,247.9,95.35,260.1,301.5,571.7,887.35,535.4,177.825,b'IR',12.5 mA,b'OK Read',09:08:32
12A,1,64,100,780.125,167.25,58.425,33.525,32.175,33.925,13.425,20.9,171.825,89.125,200.925,86.975,239.75,271.575,188.375,136.95,43.95,19.5,b'UV',12.5 mA,b'OK Read',09:08:33
12A,1,64,100,87.725,181,482.075,324.15,906.35,1360.175,314.375,545.95,6890.225,938.6,1252.525,399.225,753.15,521.775,764.45,981.525,580.95,221.675,b'White IR',12.5 mA,b'OK Read',09:08:33
12A,1,64,100,813.325,300.15,482.075,326.375,893.1,1352.1,303.625,527.675,6873.025,919.425,1223.825,390.85,730.525,491.825,374.55,222.55,91.125,65.775,b'White UV',12.5 mA,b'OK Read',09:08:35
12A,1,64,100,782.5,176.425,68.875,46.95,52.975,42,28.225,45.725,189,113.95,247.9,101.65,262.35,303.65,578.25,895.925,537.025,180.275,b'UV IR',12.5 mA,b'OK Read',09:08:35
12A,1,64,100,796.725,307.025,492.5,337.55,913.9,1361.8,318.4,552.475,6893.075,944.225,1257.75,405.525,753.15,521.775,764.45,981.525,584.2,226.55,b'White UV IR',12.5 mA,b'OK Read',09:08:36
12A,1,64,100,118.55,320.775,834.75,561.1,1701.05,2600.825,572.325,993.95,13090.275,1680.9,2155.375,666.425,1187.4,697.1,549.775,302.45,131.825,102.325,b'White',25 mA,b'OK Read',09:08:38
12A,1,64,100,56.9,57.275,68.875,44.7,66.225,48.475,40.3,66.6,203.325,136.5,284.425,111.075,287.225,335.725,983.475,1691.975,1096.825,365.4,b'IR',25 mA,b'OK Read',09:08:39
12A,1,64,100,1090.75,215.375,62.6,40.25,35.95,35.55,16.125,24.825,174.7,92.5,200.925,90.125,239.75,271.575,188.375,136.95,45.575,21.925,b'UV',25 mA,b'OK Read',09:08:40
12A,1,64,100,144.65,343.7,859.775,587.925,1744.55,2625.05,604.575,1044.9,13124.625,1731.65,2220.625,695.775,1234.875,761.25,1347.075,1860.3,1186.325,453.1,b'White IR',25 mA,b'OK Read',09:08:41
12A,1,64,100,1097.875,490.325,853.525,581.225,1710.5,2607.3,579.05,1000.475,13075.95,1686.525,2084.925,674.825,1189.65,699.25,551.975,302.45,135.075,107.175,b'White UV',25 mA,b'OK Read',09:08:42
12A,1,64,100,1033.85,224.55,85.55,64.825,77.575,54.925,47.025,75.75,206.2,143.275,263.55,119.45,284.975,335.725,981.3,1691.975,1101.7,372.725,b'UV IR',25 mA,b'OK Read',09:08:43
12A,1,64,100,1040.95,499.5,874.4,605.825,1750.225,2623.45,609.95,1051.425,13116.05,1737.3,2144.95,703.1,1234.875,761.25,1336.125,1851.75,1191.2,460.425,b'White UV IR',25 mA,b'OK Read',09:08:44
12A,1,64,100,199.175,632.375,1456.625,992.55,3192.05,4889.875,1068.075,1848.15,24241.775,3066.225,3851.5,1175.7,2021.95,1071.325,867.4,447.95,209.925,177.825,b'White',50 mA,b'OK Read',09:08:46
12A,1,64,100,83,80.2,91.825,71.525,111.625,69.475,73.9,120.175,237.7,189.525,347.05,141.45,332.475,397.725,1699.725,3107.175,2234.325,772.225,b'IR',50 mA,b'OK Read',09:08:47
12A,1,64,100,1370.55,258.9,66.775,44.7,39.725,37.15,17.475,27.425,174.7,94.75,200.925,93.25,242,271.575,188.375,136.95,47.2,21.925,b'UV',50 mA,b'OK Read',09:08:48
12A,1,64,100,251.35,675.925,1498.35,1048.45,3275.3,4918.95,1131.225,1947.425,24270.425,3155.35,3841.075,1233.325,2110.175,1197.5,2369.975,3412.475,2400.3,935.45,b'White IR',50 mA,b'OK Read',09:08:49
12A,1,64,100,1325.5,822.55,1479.575,1021.625,3192.05,4891.5,1072.125,1848.15,24153,3057.2,3721.05,1183.025,2033.275,1082.025,869.575,450.8,213.175,182.7,b'White UV',50 mA,b'OK Read',09:08:49
12A,1,64,100,1230.65,286.4,127.3,102.825,132.45,84,83.3,131.925,266.325,219.975,378.375,176.05,413.9,479,1745.725,3135.7,2250.6,786.85,b'UV IR',50 mA,b'OK Read',09:08:50
12A,1,64,100,1195.1,854.65,1544.275,1073.025,3279.1,4944.8,1128.55,1933.05,24150.125,3140.675,4010.675,1255.325,2184.8,1274.475,2376.55,3412.475,2410.075,947.625,b'White UV IR',50 mA,b'OK Read',09:08:51
12A,1,64,100,265.575,866.1,1855.225,1276.45,4111.625,6334.075,1377.1,2365.375,31103.35,3884.1,4895.275,1517.3,2637.15,1394.225,1112.7,576.35,266.875,229,b'White',100 mA,b'OK Read',09:08:53
12A,1,64,100,142.275,132.9,152.35,125.175,198.675,111.475,131.675,216.825,320.75,307.975,495.8,219,493.05,577.35,2810.25,5184.325,4445.85,1668.7,b'IR',100 mA,b'OK Read',09:08:54
12A,1,64,100,1591.075,302.45,87.65,55.875,51.1,46.85,21.5,32.65,200.475,115.075,271.375,118.4,318.9,350.7,243.125,171.2,60.2,29.225,b'UV',100 mA,b'OK Read',09:08:55
12A,1,64,100,320.125,799.65,1665.3,1189.275,3627.25,5421.35,1285.725,2203.425,26650.2,3492.65,4284.675,1403.075,2431.325,1441.25,3502.4,5492.475,4608.575,1841.675,b'White IR',100 mA,b'OK Read',09:08:56
12A,1,64,100,1482,1040.225,1811.4,1265.275,3975.4,6106.3,1346.2,2307.9,30221.325,3781.45,4623.9,1485.85,2562.5,1357.875,1086.425,562.1,265.25,229,b'White UV',100 mA,b'OK Read',09:08:57
12A,1,64,100,1180.875,309.325,166.95,145.3,210.025,116.3,138.375,224.65,323.6,310.225,514.05,223.2,484,568.8,2781.775,5150.1,4432.825,1676,b'UV IR',100 mA,b'OK Read',09:08:58
12A,1,64,100,1100.25,921.075,1667.4,1187.05,3566.7,5316.35,1265.575,2165.55,26080.3,3430.6,4219.45,1384.225,2388.35,1415.6,3357.85,5346.975,4567.9,1856.275,b'White UV IR',100 mA,b'OK Read',09:08:59
12A,1,64,150,83.783,178.717,489.717,317.433,890.567,1358.033,297.367,517.217,6857.767,916.783,1219.467,402.383,799.133,560.25,422.017,251.083,98.717,64.967,b'White',12.5 mA,b'OK Read',09:09:01
12A,1,64,150,50.583,50.4,62.6,34.283,49.2,44.15,25.083,41.8,202.367,119.583,266.167,112.467,319.65,362.1,607.467,909.233,543.533,181.9,b'IR',12.5 mA,b'OK Read',09:09:02
12A,1,64,150,810.95,178.717,69.567,38.75,39.1,39.85,14.333,24.383,194.733,104.533,260.95,106.883,304.583,337.867,232.183,165.483,55.333,24.367,b'UV',12.5 mA,b'OK Read',09:09:03
12A,1,64,150,98.017,190.933,499.45,329.367,917.067,1373.1,314.383,543.35,6909.317,946.117,1247.3,416.35,818.733,590.183,804.6,1004.333,591.267,227.367,b'White IR',12.5 mA,b'OK Read',09:09:04
12A,1,64,150,845.733,316.2,503.633,333.833,905.7,1369.883,304.533,525.933,6899.767,927.317,1219.467,411.45,805.167,565.95,422.017,254.883,100.9,69.833,b'White UV',12.5 mA,b'OK Read',09:09:04
