Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
38A,3,64,100,18248.668,3231.453,1538.5,1032.409,1169.135,784.071,White LED,25 mA,b'OK Read',09:45:00
38A,3,64,100,34048.645,6043.819,2724.947,1713.61,1894.625,1174.581,White LED,50 mA,b'OK Read',09:45:01
38A,3,64,100,44381.192,7854.592,3526.076,2175.601,2356.537,1433.904,White LED,100 mA,b'OK Read',09:45:02
38A,3,64,150,9484.049,1681.621,898.152,667.844,779.423,571.528,White LED,12.5 mA,b'OK Read',09:45:03
38A,3,64,150,18231.937,3226.182,1539.424,1033.98,1176.094,789.155,White LED,25 mA,b'OK Read',09:45:04
38A,3,64,150,33959.014,6034.154,2722.175,1714.395,1898.104,1177.631,White LED,50 mA,b'OK Read',09:45:05
38A,3,64,150,44411.068,7870.407,3544.557,2188.957,2369.585,1442.039,White LED,100 mA,b'OK Read',09:45:06
38A,3,64,200,9429.076,1680.303,898.152,671.773,788.122,579.663,White LED,12.5 mA,b'OK Read',09:45:07
38A,3,64,200,17768.251,3174.784,1514.938,1024.159,1163.915,779.495,White LED,25 mA,b'OK Read',09:45:08
38A,3,64,200,32987.424,5923.892,2672.278,1687.682,1860.699,1159.326,White LED,50 mA,b'OK Read',09:45:09
38A,3,64,200,43203.452,7739.936,3484.495,2160.28,2327.831,1420.175,White LED,100 mA,b'OK Read',09:45:11
38A,3,64,250,9218.267,1651.046,890.39,668.473,777.683,573.562,White LED,12.5 mA,b'OK Read',09:45:12
38A,3,64,250,17703.717,3170.303,1517.987,1028.637,1167.047,785.901,White LED,25 mA,b'OK Read',09:45:14
38A,3,64,250,32843.301,5911.503,2667.843,1691.453,1867.484,1166.648,White LED,50 mA,b'OK Read',09:45:16
38A,3,64,250,43128.523,7739.673,3492.811,2168.529,2336.182,1429.022,White LED,100 mA,b'OK Read',09:45:18
38A,4,64,50,9256.987,1655.263,892.607,683.558,803.78,597.968,White LED,12.5 mA,b'OK Read',09:45:30
38A,4,64,50,17732.398,3152.38,1513.552,1018.266,1116.941,762.715,White LED,25 mA,b'OK Read',09:45:31
38A,4,64,50,33112.908,5967.382,2738.807,1748.966,1905.063,1202.039,White LED,50 mA,b'OK Read',09:45:33
38A,4,64,50,42685.391,7696.446,3481.723,2182.672,2343.489,1440.006,White LED,100 mA,b'OK Read',09:45:34
38A,4,64,100,9167.356,1663.17,920.328,707.129,819.438,619.325,White LED,12.5 mA,b'OK Read',09:45:35
38A,4,64,100,17560.31,3170.831,1535.728,1058.337,1200.451,820.681,White LED,25 mA,b'OK Read',09:45:36
38A,4,64,100,32779.485,5912.031,2686.138,1718.324,1894.625,1198.987,White LED,50 mA,b'OK Read',09:45:37
38A,4,64,100,42599.346,7654.274,3456.774,2156.744,2343.489,1433.904,White LED,100 mA,b'OK Read',09:45:38
38A,4,64,150,9041.874,1627.148,829.774,589.274,687.215,457.629,White LED,12.5 mA,b'OK Read',09:45:39
38A,4,64,150,17443.193,3131.294,1467.35,967.981,1050.829,695.596,White LED,25 mA,b'OK Read',09:45:40
38A,4,64,150,32591.859,5872.494,2633.469,1646.825,1804.156,1098.309,White LED,50 mA,b'OK Read',09:45:41
38A,4,64,150,42628.027,7661.303,3439.218,2118.245,2279.117,1364.751,White LED,100 mA,b'OK Read',09:45:42
38A,4,64,200,9084.897,1628.905,880.133,652.916,722.88,550.68,White LED,12.5 mA,b'OK Read',09:45:43
38A,4,64,200,17486.813,3147.108,1516.324,1033.587,1171.745,793.223,White LED,25 mA,b'OK Read',09:45:45
38A,4,64,200,32523.142,5879.083,2662.576,1690.039,1859.394,1166.954,White LED,50 mA,b'OK Read',09:45:46
38A,4,64,200,42651.333,7687.221,3469.249,2154.387,2322.611,1415.599,White LED,100 mA,b'OK Read',09:45:47
38A,4,64,250,9086.331,1635.231,887.063,665.644,770.376,569.9,White LED,12.5 mA,b'OK Read',09:45:48
38A,4,64,250,17452.754,3148.163,1508.007,1022.037,1153.477,777.359,White LED,25 mA,b'OK Read',09:45:50
38A,4,64,250,32458.967,5874.602,2654.537,1683.91,1854.957,1155.665,White LED,50 mA,b'OK Read',09:45:52
38A,4,64,250,42639.5,7694.337,3468.417,2147.787,2315.304,1404.616,White LED,100 mA,b'OK Read',09:45:54
38B,1,64,50,10511.806,1950.469,970.225,768.414,913.386,695.596,White LED,12.5 mA,b'OK Read',09:46:22
38B,1,64,50,20277.892,3779.693,1702.053,1211.548,1367.47,945.766,White LED,25 mA,b'OK Read',09:46:24
38B,1,64,50,37759.326,7227.279,3065.912,2055.389,2197.347,1403.395,White LED,50 mA,b'OK Read',09:46:25
38B,1,64,50,49081.386,9335.895,3969.608,2606.95,2724.502,1702.38,White LED,100 mA,b'OK Read',09:46:26
38B,1,64,100,10648.045,1992.641,1014.578,791.985,921.216,695.596,White LED,12.5 mA,b'OK Read',09:46:27
38B,1,64,100,20052.024,3808.687,1699.281,1209.191,1359.641,930.512,White LED,25 mA,b'OK Read',09:46:28
38B,1,64,100,37314.761,7182.471,3035.419,2031.818,2176.47,1385.09,White LED,50 mA,b'OK Read',09:46:29
38B,1,64,100,48461.147,9362.252,3936.343,2592.807,2711.453,1687.125,White LED,100 mA,b'OK Read',09:46:30
38B,1,64,150,10428.152,1987.37,997.946,779.413,908.167,681.358,White LED,12.5 mA,b'OK Read',09:46:31
38B,1,64,150,20022.147,3791.993,1690.964,1203.691,1360.511,931.529,White LED,25 mA,b'OK Read',09:46:32
38B,1,64,150,37991.169,7160.506,3049.28,2003.533,2195.607,1338.31,White LED,50 mA,b'OK Read',09:46:33
38B,1,64,150,50214.31,9388.61,4043.53,2621.092,2731.461,1696.277,White LED,100 mA,b'OK Read',09:46:34
38B,1,64,200,10685.689,1993.96,1006.262,777.842,906.862,681.867,White LED,12.5 mA,b'OK Read',09:46:35
38B,1,64,200,20494.795,3812.64,1710.369,1204.477,1362.251,932.037,White LED,25 mA,b'OK Read',09:46:36
38B,1,64,200,38329.372,7190.378,3071.456,2030.639,2201.262,1394.243,White LED,50 mA,b'OK Read',09:46:37
38B,1,64,200,50420.459,9471.637,4040.296,2619.913,2768.866,1710.006,White LED,100 mA,b'OK Read',09:46:39
38B,1,64,250,10767.072,2007.402,1013.47,783.499,912.343,687.053,White LED,12.5 mA,b'OK Read',09:46:40
38B,1,64,250,20791.291,3833.463,1724.229,1212.491,1376.865,943.326,White LED,25 mA,b'OK Read',09:46:42
38B,1,64,250,38542.336,7207.248,3065.912,2028.046,2220.312,1403.395,White LED,50 mA,b'OK Read',09:46:44
38B,1,64,250,49890.211,9497.204,3976.261,2598.464,2780.871,1715.803,White LED,100 mA,b'OK Read',09:46:46
38B,2,64,50,10497.466,1987.37,981.313,773.128,908.167,689.494,White LED,12.5 mA,b'OK Read',09:46:49
38B,2,64,50,20256.38,3832.409,1690.964,1206.833,1367.47,945.766,White LED,25 mA,b'OK Read',09:46:50
38B,2,64,50,37802.348,7211.465,2988.294,2008.247,2202.566,1409.497,White LED,50 mA,b'OK Read',09:46:51
38B,2,64,50,48787.402,9356.98,3831.005,2526.808,2724.502,1708.481,White LED,100 mA,b'OK Read',09:46:52
38B,2,64,100,10411.421,2008.456,995.174,784.913,915.996,692.545,White LED,12.5 mA,b'OK Read',09:46:54
38B,2,64,100,19912.201,3835.044,1666.016,1199.763,1370.08,945.766,White LED,25 mA,b'OK Read',09:46:55
38B,2,64,100,37429.487,7179.835,2957.801,1991.747,2199.957,1409.497,White LED,50 mA,b'OK Read',09:46:56
38B,2,64,100,48694.185,9370.16,3836.549,2538.593,2737.55,1717.634,White LED,100 mA,b'OK Read',09:46:57
38B,2,64,150,10406.641,2003.185,997.946,788.842,925.565,703.731,White LED,12.5 mA,b'OK Read',09:46:58
38B,2,64,150,20096.242,3823.623,1678.028,1203.691,1374.429,953.902,White LED,25 mA,b'OK Read',09:46:59
38B,2,64,150,37262.178,7162.264,2945.789,1987.819,2204.306,1411.531,White LED,50 mA,b'OK Read',09:47:00
38B,2,64,150,48830.423,9390.367,3847.637,2545.665,2747.119,1724.752,White LED,100 mA,b'OK Read',09:47:01
38B,2,64,200,10398.872,1999.231,997.946,791.985,926.435,706.274,White LED,12.5 mA,b'OK Read',09:47:02
38B,2,64,200,20017.964,3817.912,1675.718,1206.834,1383.128,959.495,White LED,25 mA,b'OK Read',09:47:03
38B,2,64,200,37384.673,7149.524,2952.257,1990.569,2209.091,1420.175,White LED,50 mA,b'OK Read',09:47:04
38B,2,64,200,49335.938,9385.974,3882.288,2558.629,2766.256,1737.464,White LED,100 mA,b'OK Read',09:47:06
38B,2,64,250,10454.443,1995.804,1004.599,798.585,938.439,716.342,White LED,12.5 mA,b'OK Read',09:47:07
38B,2,64,250,20131.615,3816.594,1685.42,1213.434,1395.655,971.394,White LED,25 mA,b'OK Read',09:47:09
