Fruit number,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time
56A,1,64,50,71.15,169.55,630.25,286.15,1120.15,1670.35,400.35,689.65,8224.75,997.25,1273.4,396.1,859.45,487.55,363.6,199.75,87.9,63.35,b'White',12.5 mA,b'OK Read',9:13:01
56A,1,64,50,33.2,32.1,33.4,26.85,37.85,22.6,21.5,39.2,126,97,151.35,83.85,208.1,239.5,648.35,975.8,621.65,194.9,b'IR',12.5 mA,b'OK Read',9:13:02
56A,1,64,50,687.65,160.4,33.4,31.3,22.7,16.15,10.75,18.3,108.8,76.7,120.05,73.35,180.95,205.3,166.45,114.15,39.05,19.5,b'UV',12.5 mA,b'OK Read',9:13:03
56A,1,64,50,85.35,183.3,638.6,304.05,1142.85,1686.5,416.5,715.75,8316.35,1019.8,1252.5,410.75,891.1,526.05,849.85,1067.1,673.7,248.5,b'White IR',12.5 mA,b'OK Read',9:13:04
56A,1,64,50,687.65,302.45,638.6,304.05,1127.7,1680.05,403.05,694.85,8316.35,1001.75,1221.2,400.3,868.5,487.55,363.6,199.75,91.15,68.2,b'White UV',12.5 mA,b'OK Read',9:13:05
56A,1,64,50,654.45,164.95,45.9,44.7,45.4,29.1,26.85,44.4,126,101.55,167,88,208.1,239.5,652.75,975.8,624.9,199.75,b'UV IR',12.5 mA,b'OK Read',9:13:06
56A,1,64,50,654.45,307.05,655.25,321.9,1150.45,1692.95,419.15,721,8333.55,1026.6,1304.7,414.95,895.65,530.3,854.25,1067.1,676.95,253.35,b'White UV IR',12.5 mA,b'OK Read',9:13:07
56A,1,64,50,118.55,339.1,1147.75,532.05,2168.4,3253.45,771.15,1324.4,15934,1852.35,2327.6,699.95,1506.3,757,551.95,285.3,136.7,112.05,b'White',25 mA,b'OK Read',9:13:08
56A,1,64,50,47.4,41.25,45.9,40.25,64.35,35.55,40.3,67.9,137.45,121.85,182.65,92.2,212.6,252.35,1160.9,1877.45,1292.1,409.25,b'IR',25 mA,b'OK Read',9:13:09
56A,1,64,50,929.5,201.65,33.4,35.75,22.7,16.15,10.75,18.3,74.45,69.95,88.7,62.85,140.25,158.25,135.8,91.3,32.55,14.6,b'UV',25 mA,b'OK Read',9:13:10
56A,1,64,50,142.25,362,1172.8,563.35,2221.4,3276.05,803.4,1376.65,15962.65,1890.7,2259.75,716.75,1510.8,774.1,1511.35,2031.5,1386.5,511.55,b'White IR',25 mA,b'OK Read',9:13:11
56A,1,64,50,886.85,499.5,1160.3,549.95,2172.2,3253.45,773.85,1327,15922.55,1841.1,2275.4,689.5,1452,697.1,508.15,251.1,133.45,112.05,b'White UV',25 mA,b'OK Read',9:13:12
56A,1,64,50,820.45,201.65,58.45,62.6,71.9,38.75,45.7,73.15,108.8,119.6,161.8,94.3,199.05,239.5,1130.25,1866,1288.85,414.15,b'UV IR',25 mA,b'OK Read',9:13:13
56A,1,64,50,792,508.65,1197.85,581.25,2228.95,3282.55,806.1,1381.85,15968.35,1899.75,2358.9,729.3,1556.05,825.4,1533.25,2042.9,1393,516.45,b'White UV IR',25 mA,b'OK Read',9:13:13
56A,1,64,50,203.9,696.55,2028.4,952.3,4079.45,6145.05,1448.3,2471.15,29685.8,3386.6,4169.85,1244.85,2659.75,1231.7,871.75,428,224.55,199.75,b'White',50 mA,b'OK Read',9:13:15
56A,1,64,50,75.9,68.75,70.95,76,117.3,58.15,75.25,122.75,154.65,169.2,224.4,121.55,262.35,320.75,2076.5,3532.3,2652.55,877,b'IR',50 mA,b'OK Read',9:13:16
56A,1,64,50,1128.7,238.3,37.55,40.25,26.5,19.4,13.45,20.9,68.75,72.2,88.7,62.85,140.25,153.95,135.8,85.6,35.8,19.5,b'UV',50 mA,b'OK Read',9:13:17
56A,1,64,50,232.4,641.55,1828.1,898.65,3629.15,5379.35,1322,2254.35,25997.25,3032.4,3616.65,1142.15,2406.45,1201.75,2681,3789.1,2812,1037.75,b'White IR',50 mA,b'OK Read',9:13:18
56A,1,64,50,1000.65,838.6,1982.5,952.3,3947,5954.45,1405.3,2400.65,28918.3,3278.3,3914.15,1215.5,2591.9,1206.05,849.85,416.55,221.3,199.75,b'White UV',50 mA,b'OK Read',9:13:19
56A,1,64,50,853.65,229.15,83.45,93.9,124.9,61.4,77.9,130.6,160.35,171.45,213.95,119.45,230.7,282.25,2072.1,3509.5,2649.3,881.85,b'UV IR',50 mA,b'OK Read',9:13:20
56A,1,64,50,754.05,737.8,1798.85,898.65,3542.1,5237.2,1289.75,2202.1,25367.25,2960.2,3621.9,1117,2343.1,1167.55,2637.2,3743.45,2805.5,1037.75,b'White UV IR',50 mA,b'OK Read',9:13:20
56A,1,64,50,227.65,824.85,2299.7,1099.85,4719,7124,1676.7,2860.4,34519.85,3885.25,4749.15,1425.1,3026.15,1355.75,950.6,450.8,244.1,224.1,b'White',100 mA,b'OK Read',9:13:22
56A,1,64,50,123.3,110,116.85,125.2,211.9,100.15,134.35,227.25,223.35,261.7,349.65,169.75,330.2,406.3,3535.25,6043.15,5311.6,1895.25,b'IR',100 mA,b'OK Read',9:13:23
56A,1,64,50,1294.7,265.8,37.55,44.7,26.5,16.15,13.45,20.9,68.75,67.7,73.05,58.7,113.1,128.3,113.9,74.2,32.55,19.5,b'UV',100 mA,b'OK Read',9:13:24
56A,1,64,50,275.05,669.05,1840.6,929.95,3610.2,5253.35,1338.15,2283.1,25304.25,3027.85,3726.25,1161,2424.55,1278.75,4113.5,6277.1,5454.8,2051.15,b'White IR',100 mA,b'OK Read',9:13:25
56A,1,64,50,1062.3,957.75,2232.95,1081.95,4537.35,6852.6,1614.9,2755.9,33248.3,3740.85,4566.5,1374.8,2899.5,1295.85,911.2,428,237.6,224.1,b'White UV',100 mA,b'OK Read',9:13:26
56A,1,64,50,640.25,224.55,125.2,138.6,215.7,103.4,137.05,229.9,217.65,261.7,334,167.65,312.1,380.65,3500.2,5997.5,5308.35,1905,b'UV IR',100 mA,b'OK Read',9:13:27
56A,1,64,50,545.4,719.45,1815.55,929.95,3557.25,5166.1,1322,2251.75,24983.5,2987.25,3679.3,1152.65,2410.95,1283,3990.85,6157.3,5432,2065.8,b'White UV IR',100 mA,b'OK Read',9:13:28
56A,1,64,100,71.125,174.125,640.675,297.325,1120.15,1671.95,396.325,684.4,8327.825,988.225,1255.125,394,870.75,496.1,365.8,202.575,87.875,65.775,b'White',12.5 mA,b'OK Read',9:13:29
56A,1,64,100,35.575,29.775,33.4,26.825,37.85,24.225,22.85,39.175,126,94.75,151.35,82.775,208.075,241.625,654.925,958.675,623.275,199.75,b'IR',12.5 mA,b'OK Read',9:13:30
56A,1,64,100,706.625,162.675,33.4,31.3,22.7,16.15,10.75,18.275,108.825,76.7,120.025,72.3,180.925,205.275,166.475,114.125,39.05,17.05,b'UV',12.5 mA,b'OK Read',9:13:31
56A,1,64,100,83,187.875,651.1,312.975,1150.425,1691.35,413.8,711.825,8365.05,1015.3,1239.475,409.7,897.9,534.6,869.575,1055.7,673.7,250.925,b'White IR',12.5 mA,b'OK Read',9:13:32
56A,1,64,100,704.25,309.325,651.1,315.2,1133.4,1681.65,401.7,690.925,8345,996.125,1257.75,399.225,870.75,498.25,367.975,202.575,89.5,68.2,b'White UV',12.5 mA,b'OK Read',9:13:33
56A,1,64,100,671.05,164.975,45.9,44.7,47.3,27.45,26.875,44.4,126,100.4,151.35,86.975,210.35,243.775,672.45,970.1,624.9,202.2,b'UV IR',12.5 mA,b'OK Read',9:13:34
56A,1,64,100,668.675,313.9,663.625,328.625,1156.1,1694.575,416.475,717.05,8367.925,1019.825,1289.05,413.9,897.9,536.725,869.575,1055.7,676.975,253.35,b'White UV IR',12.5 mA,b'OK Read',9:13:35
56A,1,64,100,116.2,348.275,1160.3,543.225,2174.075,3253.45,765.8,1315.25,15979.8,1842.225,2212.8,698.925,1513.075,774.1,556.35,288.175,136.7,112.05,b'White',25 mA,b'OK Read',9:13:37
56A,1,64,100,49.8,43.525,48,44.7,66.225,37.15,40.3,67.925,146.05,122.975,185.275,99.55,239.75,282.275,1198.125,1868.875,1293.725,416.575,b'IR',25 mA,b'OK Read',9:13:38
56A,1,64,100,948.475,208.5,39.65,38,26.5,19.375,12.1,20.9,108.825,77.85,122.65,74.4,180.925,207.425,166.475,114.125,39.05,19.5,b'UV',25 mA,b'OK Read',9:13:39
56A,1,64,100,147.025,375.775,1189.5,574.525,2228.95,3279.3,799.375,1370.125,16028.5,1892.975,2364.15,730.35,1569.625,848.925,1583.65,2037.2,1393,516.45,b'White IR',25 mA,b'OK Read',9:13:40
56A,1,64,100,905.8,513.25,1179.075,565.575,2181.65,3255.075,769.825,1320.475,15962.625,1846.725,2285.85,704.15,1513.075,774.1,556.35,288.175,139.95,116.925,b'White UV',25 mA,b'OK Read',9:13:41
56A,1,64,100,839.4,208.5,64.7,64.825,75.675,42,45.675,74.45,146.05,129.725,185.275,104.775,242,284.4,1195.95,1866.025,1296.975,421.45,b'UV IR',25 mA,b'OK Read',9:13:42
56A,1,64,100,794.35,513.25,1202.025,594.65,2234.625,3280.925,803.425,1374.025,16011.3,1896.375,2356.3,734.55,1571.875,848.925,1570.5,2028.65,1396.25,521.325,b'White UV IR',25 mA,b'OK Read',9:13:43
56A,1,64,100,203.925,705.7,2038.85,972.425,4085.15,6119.225,1436.2,2452.875,29677.2,3371.95,4146.375,1250.1,2677.85,1268.05,893.675,433.7,222.95,199.75,b'White',50 mA,b'OK Read',9:13:44
56A,1,64,100,78.25,71.025,75.125,73.775,119.2,61.375,73.9,124.075,186.15,175.975,268.775,130.975,296.275,357.1,2122.475,3463.825,2652.525,891.6,b'IR',50 mA,b'OK Read',9:13:45
56A,1,64,100,1159.525,242.875,43.825,42.475,28.375,17.775,13.425,20.9,100.225,80.1,122.65,67.075,153.8,175.35,168.65,99.875,40.675,17.05,b'UV',50 mA,b'OK Read',9:13:46
56A,1,64,100,230,646.125,1840.6,912.075,3621.575,5351.9,1308.575,2234.775,25862.675,3008.675,3574.9,1137.975,2399.65,1210.325,2711.675,3697.8,2805.5,1049.95,b'White IR',50 mA,b'OK Read',9:13:47
56A,1,64,100,995.9,840.9,1986.675,965.725,3947.025,5939.9,1397.25,2386.275,28835.25,3253.5,3963.725,1202.925,2530.85,1150.45,812.625,382.325,209.925,194.875,b'White UV',50 mA,b'OK Read',9:13:48
56A,1,64,100,863.125,233.7,89.725,96.125,128.675,66.225,79.275,131.925,189,181.625,268.775,137.275,298.55,359.25,2137.8,3452.425,2655.8,896.475,b'UV IR',50 mA,b'OK Read',9:13:49
56A,1,64,100,756.425,749.25,1805.125,914.3,3557.25,5238.8,1285.725,2191.65,25309.95,2960.175,3647.975,1137.975,2406.45,1257.35,2711.675,3683.525,2810.375,1057.25,b'White UV IR',50 mA,b'OK Read',9:13:50
56A,1,64,100,225.275,831.725,2318.5,1119.975,4745.5,7135.325,1669.975,2851.25,34419.6,3872.825,4576.925,1427.175,3005.8,1355.725,944.05,439.4,242.475,224.125,b'White',100 mA,b'OK Read',9:13:52
56A,1,64,100,120.925,112.275,114.775,122.95,210.025,98.55,131.675,222.05,211.925,259.475,339.225,169.75,341.525,408.425,3498.025,5732.15,5280.675,1936.675,b'IR',100 mA,b'OK Read',9:13:52
56A,1,64,100,1297.05,268.075,37.575,44.7,24.6,16.15,13.425,20.9,63,66.55,73.075,56.575,104.05,115.475,113.9,68.475,30.925,17.05,b'UV',100 mA,b'OK Read',9:13:53
56A,1,64,100,272.7,669.05,1817.65,943.375,3623.475,5256.575,1330.075,2271.325,25178.225,3014.325,3687.125,1163.125,2417.75,1289.45,4065.325,5966.125,5422.25,2092.575,b'White IR',100 mA,b'OK Read',9:13:54
56A,1,64,100,1062.3,973.775,2251.725,1106.575,4573.325,6872,1612.2,2746.75,33125.175,3732.95,4553.45,1383.175,2894.975,1312.95,924.35,427.975,237.6,221.675,b'White UV',100 mA,b'OK Read',9:13:55
56A,1,64,100,635.475,224.55,123.125,138.6,213.825,100.15,134.35,225.95,206.2,260.6,313.125,170.8,327.95,389.175,3454.225,5683.65,5272.525,1946.425,b'UV IR',100 mA,b'OK Read',9:13:56
56A,1,64,100,535.9,719.45,1796.775,941.125,3572.375,5180.65,1313.95,2243.9,24857.475,2974.85,3527.95,1148.45,2372.525,1253.075,3870.4,5794.925,5378.3,2109.625,b'White UV IR',100 mA,b'OK Read',9:13:57
56A,1,64,150,61.65,168.033,621.883,296.567,1118.883,1669.267,394.1,680.05,8257.183,968.683,1188.15,375.833,797.617,420.55,305.2,163.583,78.117,60.083,b'White',12.5 mA,b'OK Read',9:13:59
56A,1,64,150,25.3,21.383,23.65,22.35,32.8,17.233,20.6,35.7,76.367,78.967,100.9,59.383,125.15,143.983,611.85,905.433,615.133,196.517,b'IR',12.5 mA,b'OK Read',9:14:00
56A,1,64,150,686.067,152.75,23.65,25.333,16.4,10.767,8.95,14.8,74.45,57.15,76.55,49.6,101.017,112.617,99.3,68.483,26.033,13,b'UV',12.5 mA,b'OK Read',9:14:01
56A,1,64,150,74.3,178.717,635.8,309.983,1149.167,1687.583,411.117,707.917,8308.733,996.5,1174.233,386.317,806.667,436.233,808.983,998.633,665.033,246.85,b'White IR',12.5 mA,b'OK Read',9:14:02
56A,1,64,150,686.067,300.917,635.8,312.967,1131.5,1678.967,399.467,686.15,8280.1,976.95,1191.633,375.833,776.517,397.733,303.733,152.167,78.117,63.333,b'White UV',12.5 mA,b'OK Read',9:14:03
56A,1,64,150,651.3,155.8,34.783,38.75,40.367,21.533,25.083,40.917,78.283,81.983,106.117,61.467,113.083,132.583,607.467,907.333,615.133,198.133,b'UV IR',12.5 mA,b'OK Read',9:14:05
56A,1,64,150,649.717,303.967,646.933,326.383,1156.733,1691.883,415.583,712.267,8299.2,1002.517,1186.417,393.3,820.25,453.333,823.583,1008.15,668.283,250.1,b'White UV IR',12.5 mA,b'OK Read',9:14:06
56A,1,64,150,105.917,337.583,1143.6,542.483,2178.5,3251.3,763.117,1308.733,15882.45,1823.033,2150.167,675.517,1415.817,674.3,490.65,237.767,124.767,107.183,b'White',25 mA,b'OK Read',9:14:08
56A,1,64,150,39.517,35.133,36.167,38.75,59.283,30.15,38.517,64.433,106.917,103.783,121.767,74.75,149.267,178.2,1134.617,1797.533,1285.583,417.383,b'IR',25 mA,b'OK Read',9:14:09
56A,1,64,150,924.767,198.583,27.817,32.783,18.917,12.917,10.75,17.417,61.1,60.167,59.15,51,94.983,105.5,96.383,64.667,27.117,14.617,b'UV',25 mA,b'OK Read',9:14:11
56A,1,64,150,135.95,365.067,1170.033,575.267,2232.733,3279.3,796.25,1364.45,15928.267,1874.183,2285.85,708.35,1474.633,752.7,1528.883,1972.533,1385.4,514.817,b'White IR',25 mA,b'OK Read',9:14:12
56A,1,64,150,904.217,513.233,1176.983,573.767,2196.15,3263.15,768.483,1316.567,15865.267,1843.35,2278.9,704.15,1500.267,774.083,559.283,285.317,138.867,116.933,b'White UV',25 mA,b'OK Read',9:14:13
56A,1,64,150,829.917,201.633,58.433,61.1,73.167,37.7,43.883,71.4,110.733,116.567,167,83.833,171.883,205.283,1184.267,1808.95,1294.267,422.25,b'UV IR',25 mA,b'OK Read',9:14:15
56A,1,64,150,785.667,507.133,1196.467,596.133,2245.35,3290.067,798.933,1367.067,15804.167,1874.933,2207.567,711.15,1461.05,744.15,1515.733,1955.417,1387.567,521.317,b'White UV IR',25 mA,b'OK Read',9:14:16
56A,1,64,150,199.183,702.65,2045.117,983.617,4117.317,6129.983,1425.9,2438.083,29212.317,3355.017,4077.667,1232.967,2588.883,1201.767,848.4,395.65,218.067,196.517,b'White',50 mA,b'OK Read',9:14:18
56A,1,64,150,67.967,61.1,62.6,68.55,112.267,53.85,72.55,121.033,141.283,157.183,191.35,105.483,205.067,248.05,2064.8,3347.8,2648.2,899.717,b'IR',50 mA,b'OK Read',9:14:19
56A,1,64,150,1152.417,239.817,32,40.233,21.45,15.083,11.65,19.15,59.183,61.667,62.633,52.4,96.5,106.917,99.3,64.667,28.2,16.233,b'UV',50 mA,b'OK Read',9:14:21
56A,1,64,150,227.633,653.767,1861.483,934.433,3688.433,5432.117,1316.633,2247.383,25783.433,3020.35,3681.033,1142.167,2365.733,1186.083,2692.7,3617.9,2810.933,1062.117,b'White IR',50 mA,b'OK Read',9:14:22
56A,1,64,150,1000.65,852.35,2020.083,994.05,4015.133,6011.517,1401.717,2394.55,28628.117,3265.517,3973.283,1211.317,2516.517,1153.3,813.367,380.433,210.467,194.883,b'White UV',50 mA,b'OK Read',9:14:24
56A,1,64,150,863.117,227.6,79.3,90.917,121.1,60.317,77.033,127.133,147,163.95,200.05,111.767,206.567,249.483,2048.733,3336.383,2652.533,904.6,b'UV IR',50 mA,b'OK Read',9:14:25
56A,1,64,150,761.95,757.633,1832.267,934.433,3601.383,5298.583,1287.967,2197.75,25141.95,2957.917,3616.667,1141.467,2392.867,1257.367,2641.6,3619.8,2809.85,1070.25,b'White UV IR',50 mA,b'OK Read',9:14:27
56A,1,64,150,237.117,853.867,2360.933,1159.467,4809.833,7211.233,1675.8,2862.133,34197.183,3898.017,4639.55,1460.017,3084.95,1464.067,1022.167,490.75,254.95,230.617,b'White',100 mA,b'OK Read',9:14:28
56A,1,64,150,124.883,114.567,121.033,123.7,210.667,100.15,130.767,222.033,250.1,267.733,386.2,181.633,392.033,463.317,3449.117,5552.4,5267.1,1971.583,b'IR',100 mA,b'OK Read',9:14:29
56A,1,64,150,1321.55,276.483,47.3,49.183,31.533,21.533,14.333,23.517,108.817,80.467,137.433,76.15,183.95,209.567,170.85,116.033,40.133,21.117,b'UV',100 mA,b'OK Read',9:14:31
56A,1,64,150,271.9,682.8,1867.033,970.2,3682.117,5323.35,1334.55,2282.217,25057.95,3034.633,3729.733,1175.683,2436.6,1317.233,4006.933,5765.433,5413.567,2127.5,b'White IR',100 mA,b'OK Read',9:14:32
56A,1,64,150,1079.7,991.35,2294.15,1146.05,4639.55,6945.233,1616.683,2756.783,32835.933,3751.367,4432.55,1400.633,2926.633,1367.133,959.383,456.517,243.017,224.117,b'White UV',100 mA,b'OK Read',9:14:34
56A,1,64,150,649.717,224.55,125.217,135.617,211.917,99.083,133.45,224.65,238.65,260.217,339.233,172.55,343.783,409.15,3368.8,5487.733,5257.333,1979.7,b'UV IR',100 mA,b'OK Read',9:14:35
56A,1,64,150,548.533,737.783,1850.35,968.717,3630.4,5251.2,1316.633,2251.75,24683.75,2987.25,3663.633,1161.717,2400.417,1293,3776.2,5609.467,5359.317,2145.367,b'White UV IR',100 mA,b'OK Read',9:14:37
56A,2,64,50,71.15,174.15,638.6,308.5,1146.65,1699.4,397.7,684.4,8213.3,988.25,1195.1,391.9,854.9,496.1,368,199.75,87.9,63.35,b'White',12.5 mA,b'OK Read',9:15:03
56A,2,64,50,33.2,27.5,33.4,26.85,37.85,22.6,21.5,39.2,126,92.5,167,79.65,208.1,243.75,687.8,964.4,624.9,199.75,b'IR',12.5 mA,b'OK Read',9:15:04
56A,2,64,50,697.15,160.4,33.4,31.3,22.7,16.15,10.75,18.3,108.8,72.2,120.05,69.15,180.95,205.3,166.45,114.15,35.8,14.6,b'UV',12.5 mA,b'OK Read',9:15:05
56A,2,64,50,85.35,187.9,655.25,321.9,1173.15,1712.35,413.8,710.55,8219,1013.05,1273.4,408.65,882.05,534.6,889.3,1055.7,676.95,248.5,b'White IR',12.5 mA,b'OK Read',9:15:06
56A,2,64,50,701.9,311.6,655.25,321.9,1154.2,1702.65,400.35,689.65,8201.8,992.75,1247.3,398.2,854.9,496.1,368,205.45,87.9,68.2,b'White UV',12.5 mA,b'OK Read',9:15:07
56A,2,64,50,663.95,164.95,45.9,44.7,45.4,29.1,26.85,44.4,126,97,151.35,83.85,208.1,243.75,687.8,964.4,628.15,204.65,b'UV IR',12.5 mA,b'OK Read',9:15:08
56A,2,64,50,668.7,316.2,667.8,339.8,1180.7,1715.6,416.5,715.75,8224.75,1017.55,1231.65,412.85,886.6,538.85,889.3,1050,680.2,253.35,b'White UV IR',12.5 mA,b'OK Read',9:15:09
56A,2,64,50,118.55,352.85,1168.65,558.85,2221.4,3295.45,765.8,1313.95,15722.05,1841.1,2265,697.85,1483.65,774.1,560.75,285.3,136.7,112.05,b'White',25 mA,b'OK Read',9:15:10
56A,2,64,50,52.15,45.85,45.9,44.7,68.1,35.55,40.3,67.9,143.2,119.6,203.55,96.4,244.25,286.55,1231,1871.7,1301.85,419,b'IR',25 mA,b'OK Read',9:15:11
56A,2,64,50,939,206.2,37.55,35.75,26.5,19.4,10.75,20.9,108.8,76.7,135.7,71.25,185.45,209.55,170.85,114.15,39.05,19.5,b'UV',25 mA,b'OK Read',9:15:12
56A,2,64,50,147,375.75,1197.85,590.15,2270.6,3321.3,798.05,1368.8,15756.45,1890.7,2259.75,729.3,1537.95,846.8,1620.9,2037.2,1402.75,521.3,b'White IR',25 mA,b'OK Read',9:15:13
56A,2,64,50,905.8,513.25,1185.35,581.25,2221.4,3295.45,771.15,1319.2,15687.7,1845.6,2265,704.15,1483.65,774.1,560.75,285.3,139.95,116.95,b'White UV',25 mA,b'OK Read',9:15:14
56A,2,64,50,834.65,206.2,62.6,67.05,75.7,42,45.7,75.75,148.9,128.6,203.55,102.7,244.25,286.55,1231,1871.7,1305.1,423.9,b'UV IR',25 mA,b'OK Read',9:15:15
56A,2,64,50,801.45,517.8,1210.4,608.05,2274.35,3321.3,803.4,1374.05,15739.25,1893,2338.05,733.5,1542.5,851.05,1612.1,2031.5,1402.75,526.2,b'White UV IR',25 mA,b'OK Read',9:15:16
56A,2,64,50,203.9,710.3,2045.1,997,4166.5,6212.9,1437.55,2455.5,29250.5,3377.6,3997.65,1251.15,2619.05,1265.9,902.45,433.7,224.55,199.75,b'White',50 mA,b'OK Read',9:15:17
