Fruit,spot,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time,Fruit.1,phenols (FW),phenols (DW),carotene (FW),carotene (DW),%DM
9,1,64,50,0.444459362,0.386899654,0.383836294,0.355957835,0.384171883,0.494374372,0.519353749,0.578236093,0.665704933,0.736925225,1.384171979,0.697130927,1.196911918,1.062384735,0.850567753,0.924733348,0.582097158,0.506725409,b'White',100 mA,b'OK Read',11:58:39,9,112.4939624,722.1218248,3.010850848,19.32726933,15.57825266
9,2,64,50,0.481686835,0.423249243,0.42387277,0.357897833,0.390459518,0.550829211,0.546341912,0.607497003,0.724518024,0.774075523,1.531792275,0.74305051,1.321173959,1.178577254,0.931736232,1.014106022,0.592114533,0.528192354,b'White',100 mA,b'OK Read',12:07:17,9,112.4939624,722.1218248,3.010850848,19.32726933,15.57825266
9,3,64,50,0.503516178,0.433825538,0.436590215,0.374271103,0.413305471,0.579263451,0.561957947,0.616548146,0.739647895,0.765005913,1.46322606,0.751297758,1.285809917,1.188512926,0.917565742,1.096798616,0.617643364,0.555627772,b'White',100 mA,b'OK Read',12:17:30,9,112.4939624,722.1218248,3.010850848,19.32726933,15.57825266
10,1,64,50,0.427893423,0.35819625,0.346406538,0.347513663,0.384397323,0.459685245,0.821993394,0.952158261,0.832853029,1.044855375,1.299506396,1.121618398,1.104730695,1.000491053,1.113218493,1.331920706,0.71049892,0.533712804,b'White',100 mA,b'OK Read',12:26:38,10,106.2647471,671.4792395,3.156789329,19.9475231,15.82547023
10,2,64,50,0.494108412,0.423857732,0.413907414,0.3549862,0.393585843,0.547161218,0.572471566,0.629809032,0.770971168,0.798528276,1.410678633,0.762277335,1.231628751,1.090330546,0.914292,1.035563875,0.613667946,0.545476044,b'White',100 mA,b'OK Read',12:37:37,10,106.2647471,671.4792395,3.156789329,19.9475231,15.82547023
10,3,64,50,0.516998218,0.472615597,0.479929387,0.374451809,0.42186974,0.626810767,0.588369449,0.645517282,0.798473363,0.807254126,1.439598663,0.776814693,1.291321233,1.147600553,0.918222058,1.049928733,0.645991451,0.57054611,b'White',100 mA,b'OK Read',12:51:46,10,106.2647471,671.4792395,3.156789329,19.9475231,15.82547023
11,1,64,50,0.514850692,0.431596217,0.410200261,0.391347764,0.443444811,0.54942188,0.547308328,0.572408743,0.565793862,0.62323205,0.902907871,0.706270323,1.44576029,1.235551523,0.914860199,0.998088301,0.58361883,0.525736283,b'White',100 mA,b'OK Read',08:52:12,11,105.5509534,617.1584618,0.866777205,5.068063049,17.1027313
11,2,64,50,0.548507238,0.492758429,0.499608231,0.397030451,0.453924258,0.640472319,0.563248433,0.583409871,0.590199879,0.64686439,0.883057129,0.717394433,1.573058386,1.348187521,0.947736274,1.017961932,0.594272442,0.53617719,b'White',100 mA,b'OK Read',09:00:30,11,105.5509534,617.1584618,0.866777205,5.068063049,17.1027313
11,3,64,50,0.537790973,0.489513448,0.506518691,0.392338971,0.445979644,0.641294509,0.546422686,0.563543663,0.581134496,0.622995714,0.8186939,0.684695152,1.451614637,1.252123255,0.881176967,1.008395551,0.583119782,0.531856793,b'White',100 mA,b'OK Read',09:12:22,11,105.5509534,617.1584618,0.866777205,5.068063049,17.1027313
12,1,64,50,0.514820771,0.46124624,0.462617736,0.38336455,0.437852039,0.604432514,0.544142125,0.560792112,0.545917877,0.594583838,0.918827158,0.698585817,1.502517728,1.292112844,0.87411508,0.968908197,0.571094735,0.505635753,b'White',100 mA,b'OK Read',09:20:39,12,96.74969154,552.4949085,0.418258145,2.38848819,17.51141776
12,2,64,50,0.504617474,0.45100029,0.463116591,0.385313167,0.433896762,0.594182713,0.557472027,0.563518105,0.52622746,0.594468529,0.888915428,0.709194755,1.462125835,1.256851301,0.874684369,0.982503682,0.572522013,0.507437838,b'White',100 mA,b'OK Read',09:28:42,12,96.74969154,552.4949085,0.418258145,2.38848819,17.51141776
12,3,64,50,0.520437505,0.489122985,0.524041486,0.376971456,0.430429462,0.643241849,0.530143594,0.539115211,0.53631611,0.591175897,0.813269738,0.677221202,1.573697133,1.428656746,1.002775496,1.136329454,0.566335536,0.490712574,b'White',100 mA,b'OK Read',09:44:35,12,96.74969154,552.4949085,0.418258145,2.38848819,17.51141776
13,1,64,50,0.521889253,0.458325492,0.462328425,0.379082041,0.429883923,0.620255403,0.565390468,0.614249782,0.656764782,0.72647899,1.047305536,0.741563095,1.307239837,1.145595791,0.852060703,0.948042964,0.605114619,0.549068634,b'White',100 mA,b'OK Read',10:05:47,13,84.03151395,410.5868897,1.313888928,6.419800656,20.46619511
13,2,64,50,0.502720343,0.412780052,0.388334316,0.375831015,0.42053636,0.520702779,0.55736058,0.603413419,0.599012685,0.688576553,0.952389329,0.739999988,1.210181671,1.031297874,0.819184157,0.926079795,0.592145746,0.534169831,b'White',100 mA,b'OK Read',10:13:37,13,84.03151395,410.5868897,1.313888928,6.419800656,20.46619511
13,3,64,50,0.506232825,0.415942342,0.398085438,0.380478862,0.412293888,0.514584637,0.528521008,0.573677535,0.551473042,0.672814754,0.889787652,0.706189857,1.149802625,0.957924647,0.77019678,0.868241822,0.559949559,0.528566223,b'White',100 mA,b'OK Read',10:22:16,13,84.03151395,410.5868897,1.313888928,6.419800656,20.46619511
14,1,64,50,0.506684251,0.41307742,0.388138991,0.383745052,0.43468853,0.517952078,0.554247468,0.599512991,0.628429726,0.723281961,1.268612225,0.761774229,1.1060588,0.961710695,0.820012885,0.920126517,0.600373686,0.546647494,b'White',100 mA,b'OK Read',10:30:52,14,80.4927709,392.1307989,1.12506571,5.480901089,20.52702086
14,2,64,50,0.570247311,0.547581461,0.592615221,0.410193663,0.477973894,0.743579738,0.569379001,0.617780021,0.709656314,0.756326916,1.39739876,0.772516994,1.525917739,1.371856631,0.986791963,1.104804491,0.633207846,0.57470616,b'White',100 mA,b'OK Read',10:38:37,14,80.4927709,392.1307989,1.12506571,5.480901089,20.52702086
14,3,64,50,0.59864456,0.576745403,0.611686296,0.421329168,0.48430469,0.747787587,0.571796212,0.623478803,0.705797797,0.77031658,1.413398994,0.802656305,1.469794734,1.325216645,0.968839662,1.054505668,0.644264471,0.583817939,b'White',100 mA,b'OK Read',10:47:35,14,80.4927709,392.1307989,1.12506571,5.480901089,20.52702086
15,1,64,50,0.514819044,0.418407357,0.39197619,0.373388015,0.407248117,0.491457067,0.566430346,0.632616754,0.703485719,0.814886473,1.220605406,0.794699026,1.150179373,0.989355176,0.840750551,0.956751434,0.636894274,0.55589329,b'White',100 mA,b'OK Read',11:37:05,15,50.25581144,294.7695035,6.220071241,36.4830904,17.04918957
15,2,64,50,0.5188012,0.415069483,0.386473855,0.374842061,0.405158696,0.483633589,0.557306178,0.628787841,0.732496227,0.813442454,1.34195659,0.807146986,1.282432057,1.133015646,0.962202548,1.098597061,0.638618949,0.560464323,b'White',100 mA,b'OK Read',11:47:19,15,50.25581144,294.7695035,6.220071241,36.4830904,17.04918957
15,3,64,50,0.556411454,0.527006307,0.554794428,0.377707982,0.409789502,0.636603609,0.530831903,0.587121879,0.756667064,0.765826115,1.774806041,0.758305601,1.702660828,1.621406341,1.130247864,1.26040777,0.621445244,0.548186035,b'White',100 mA,b'OK Read',11:57:38,15,50.25581144,294.7695035,6.220071241,36.4830904,17.04918957
16,1,64,50,0.474051017,0.39131036,0.369568162,0.346166807,0.380306257,0.485929148,0.534690509,0.584398903,0.707384933,0.707047429,1.182241225,0.742189292,1.35165099,1.145906512,0.920844864,1.041905114,0.5746229,0.500025949,b'White',100 mA,b'OK Read',12:09:41,16,61.38336992,371.8772272,4.863771594,29.46605728,16.50635356
16,2,64,50,0.45072541,0.371740707,0.357273255,0.334048501,0.363442441,0.46830488,0.512366983,0.562063607,0.68245268,0.694522298,1.23709873,0.716063857,1.412485675,1.203725992,0.975456948,1.079782475,0.548340748,0.484361149,b'White',100 mA,b'OK Read',12:18:07,16,61.38336992,371.8772272,4.863771594,29.46605728,16.50635356
16,3,64,50,0.447112228,0.377221675,0.362001557,0.340872577,0.366897924,0.469432334,0.507661442,0.546397673,0.671258869,0.659570114,1.113481394,0.684663047,1.3240173,1.13644716,0.904508945,1.059152994,0.533854353,0.470879784,b'White',100 mA,b'OK Read',12:26:51,16,61.38336992,371.8772272,4.863771594,29.46605728,16.50635356
17,1,64,50,0.486135832,0.400325318,0.387195798,0.345518707,0.384838371,0.519599232,0.534457525,0.577354029,0.691082265,0.691291726,1.221905492,0.735303883,1.406200768,1.202798053,0.919856146,1.023556928,0.561336342,0.5004682,b'White',100 mA,b'OK Read',12:36:35,17,55.88264895,359.4281517,5.072911221,32.62814376,15.54765499
17,2,64,50,0.537846073,0.483015108,0.491263641,0.362814828,0.402525018,0.638836556,0.577456717,0.621246584,0.773887488,0.736188032,1.291447598,0.801165594,1.770379021,1.488082489,1.102519152,1.192591,0.6147991,0.53749392,b'White',100 mA,b'OK Read',12:44:32,17,55.88264895,359.4281517,5.072911221,32.62814376,15.54765499
17,3,64,50,0.477494033,0.449491109,0.492100222,0.348186354,0.380637821,0.662630579,0.525012559,0.55383076,0.711814102,0.642949313,1.320301237,0.711428737,1.897511062,1.63004779,1.097165787,1.216018336,0.562323493,0.492914179,b'White',100 mA,b'OK Read',12:52:41,17,55.88264895,359.4281517,5.072911221,32.62814376,15.54765499
18,1,64,50,0.490474805,0.449772766,0.461396539,0.363340645,0.401413599,0.570150577,0.544788068,0.597397043,0.777290478,0.753905796,1.782070135,0.734932392,1.481776477,1.380196151,0.982776055,1.135887098,0.606761505,0.527241747,b'White',100 mA,b'OK Read',13:03:45,18,58.52062443,439.0438204,3.267909539,24.51709124,13.32910787
18,2,64,50,0.543752835,0.542465012,0.595128163,0.401575451,0.462806526,0.803695242,0.582133707,0.631498434,0.85055772,0.808735476,2.027136721,0.793224915,1.904336487,1.712961995,1.158422393,1.267657443,0.642378377,0.569128269,b'White',100 mA,b'OK Read',13:12:02,18,58.52062443,439.0438204,3.267909539,24.51709124,13.32910787
18,3,64,50,0.530930126,0.493594307,0.48939166,0.41463983,0.445947516,0.700349119,0.573054788,0.618268688,0.770192528,0.78396424,1.479479849,0.740439465,1.369535521,1.182529979,0.90300775,1.028480148,0.629486359,0.564419933,b'White',100 mA,b'OK Read',13:20:57,18,58.52062443,439.0438204,3.267909539,24.51709124,13.32910787
