Fruit,Fruit number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time,spot,phenols (FW),phenols (DW),carotene (FW),carotene (DW),%DM
1,Fruit 1 spot 1,1,64,50,0.500512454,0.245138489,1.06094287,1.010876811,0.720350846,0.717791339,White LED,12.5 mA,b'OK Read',08:59:20,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,50,0.501297306,0.24785472,1.0572885,0.99449427,0.620503656,0.577988701,White LED,25 mA,b'OK Read',08:59:21,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,50,0.508914717,0.259708944,1.135829112,1.072492887,0.599278069,0.534950566,White LED,50 mA,b'OK Read',08:59:22,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,50,0.507494107,0.268015356,1.165832947,1.107025448,0.59983533,0.529051912,White LED,100 mA,b'OK Read',08:59:23,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,100,0.501416924,0.249355965,1.07287098,1.02217705,0.715081378,0.705836804,White LED,12.5 mA,b'OK Read',08:59:24,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,100,0.50123624,0.251476689,1.077687372,1.015156956,0.625689513,0.580133209,White LED,25 mA,b'OK Read',08:59:25,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,100,0.510438813,0.266384716,1.164541463,1.103809508,0.606300395,0.54245663,White LED,50 mA,b'OK Read',08:59:26,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,100,0.510132743,0.274233439,1.18869282,1.132740726,0.603787565,0.533524248,White LED,100 mA,b'OK Read',08:59:27,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,150,0.502477521,0.248728072,1.070024829,1.020365499,0.709108235,0.694681534,White LED,12.5 mA,b'OK Read',08:59:29,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,150,0.503116051,0.252040818,1.080776791,1.020798039,0.616769376,0.572149288,White LED,25 mA,b'OK Read',08:59:30,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
1,Fruit 1 spot 1,1,64,150,0.513312838,0.272512421,1.184023583,1.127070579,0.611440585,0.547171538,White LED,50 mA,b'OK Read',08:59:31,1,77.31836223,348.6055389,0.410252872,1.849708395,22.17932694
